User	DL	UD	RD	PT	UP	PM	BL	UB	BM	UR	RM	Total
Chochopk	27	37	0	1	0	0	2	1	0	0	0	68
Choess	7	4	0	0	0	0	0	0	0	0	0	11
Cholmes75	4580	10	0	26	0	0	112	3	0	0	0	4731
Chris 73	1929	15	0	46	8	0	697	30	3	0	0	2728
Chris G	6858	154	0	247	15	38	2838	70	223	0	8	10451
Chris Roy	3	0	0	0	0	0	1	0	0	0	0	4
ChrisGriswold	1126	16	0	51	8	0	210	21	0	0	0	1432
ChrisO	2405	22	0	337	63	35	757	39	3	0	1	3662
ChrisTheDude	675	16	0	6	0	0	13	2	0	0	0	712
Chrislk02	4099	61	0	134	21	8	1632	91	12	0	5	6063
Christopher Mahan	38	5	0	0	0	0	0	0	0	0	0	43
Christopher Parham	495	6	0	4	2	0	24	1	0	0	0	532
Christopher Sundita	61	38	0	7	4	0	17	2	0	0	0	129
Chuck SMITH	0	1	0	0	0	0	0	0	0	0	0	1
Chunky Rice	342	1	0	4	3	0	31	2	0	0	0	383
Chuq	214	19	0	13	2	1	93	6	0	0	0	348
CieloEstrellado	0	0	0	1	0	0	0	0	0	0	0	1
Cimon Avaro	211	10	0	2	5	1	4	0	0	6	2	241
Circeus	1711	8	0	50	27	0	155	13	0	0	0	1964
Cirt	5174	50	0	317	9	41	2159	15	10	0	2	7777
Citicat	685	14	0	20	1	0	33	4	0	0	0	757
Ck lostsword	308	4	0	13	1	5	308	16	0	0	0	655
Ckatz	1271	47	0	166	5	28	703	18	10	0	1	2249
Clarkk	23	0	0	0	1	0	0	0	0	0	0	24
Cleared as filed	1346	19	0	0	0	0	53	2	0	0	0	1420
Climie.ca	0	0	0	1	0	0	11	1	1	0	1	15
ClockworkLunch	20	4	0	11	1	0	4	0	0	0	0	40
ClockworkSoul	755	46	0	36	7	4	212	19	3	0	0	1082
Closedmouth	5414	75	0	38	1	0	433	8	13	0	4	5986
CloudNine	422	15	0	24	1	2	32	2	0	0	0	498
ClueBot	0	0	0	1	0	0	0	0	0	0	0	1
Cnwb	661	11	0	0	0	0	23	2	0	0	0	697
Cobaltbluetony	6363	89	0	419	24	8	386	20	4	0	0	7313
Coelacan	1194	30	0	85	10	1	845	53	0	0	0	2218
Coffee	827	52	0	79	6	35	226	8	0	0	2	1235
Coffeedrinker87	0	0	0	1	0	0	0	0	0	0	0	1
Cohesion	6798	40	0	2	15	1	3	0	0	0	0	6859
Colds7ream	87	2	0	1	1	0	0	0	0	0	2	93
Commander Keane	4762	219	0	38	22	0	121	29	0	0	0	5191
Conscious	13444	65	0	2	2	0	56	0	0	0	0	13569
Consumed Crustacean	732	22	0	42	3	1	354	36	1	0	0	1191
Conti	457	41	0	12	38	1	73	3	0	0	1	626
Cool Hand Luke	932	570	0	61	12	20	70	16	0	0	0	1681
Cool3	23	0	0	2	2	0	9	1	0	0	3	40
Coralmizu	168	2	0	23	1	2	47	2	1	0	0	246
Coredesat	11148	136	0	235	25	11	494	60	0	0	0	12109
Coren	847	22	37	54	7	5	177	34	3	0	1	1187
Cowman109	431	36	0	101	43	4	360	44	0	0	0	1019
Craigy144	3095	11	0	8	3	1	38	0	0	0	0	3156
Crazycomputers	439	8	0	54	15	5	681	40	0	0	2	1244
Crazytales	156	15	0	18	1	2	117	18	0	0	0	327
Cremepuff222	175	6	0	3	2	1	96	4	0	0	0	287
Croat Canuck	83	3	0	1	1	0	5	1	0	0	0	94
Crum375	176	18	0	87	6	6	218	12	0	0	0	523
Cryptic	9383	238	0	136	15	1	322	21	0	0	0	10116
CryptoDerk	1091	1	0	67	9	0	1014	45	0	0	0	2227
Crzrussian	5139	133	0	156	28	0	150	13	0	0	0	5619
Cuchullain	269	43	0	8	0	2	37	0	0	0	0	359
Curps	5148	166	0	461	101	0	26558	1065	0	0	0	33499
Cutler	69	0	0	0	0	0	7	0	0	0	0	76
CyborgTosser	2	0	0	0	0	0	0	0	0	0	0	2
Cyde	19066	106	0	258	32	2	829	168	0	0	0	20461
Cydebot	7261	0	0	0	0	0	0	0	0	0	0	7261
Cyp	3	0	0	0	0	0	0	0	0	0	0	3
Cyrius	1619	99	0	26	13	0	68	8	0	0	0	1833
D. Recorder	172	18	0	2	0	0	34	2	0	0	0	228
DDima	523	9	0	1	0	0	1	0	0	0	0	534
DESiegel	892	112	0	9	2	0	40	29	0	0	0	1084
DGG	8032	197	0	152	4	10	108	10	6	0	1	8520
DJ Clayworth	5404	29	0	37	11	0	289	18	2	0	0	5790
DMacks	4166	43	0	273	10	34	647	11	40	0	0	5224
DO11.10	417	28	0	2	0	0	2	1	0	0	2	452
DVD R W	6097	53	0	54	17	7	962	21	0	0	3	7214
DaGizza	837	1	0	8	4	1	53	3	0	0	0	907
Dale Arnett	67	1	0	2	0	0	4	0	0	0	0	74
Dan100	294	16	0	18	12	0	186	44	0	0	0	570
DanKeshet	104	1	0	6	0	0	2	0	0	0	0	113
DanMS	65	0	0	2	1	0	0	0	0	0	0	68
Danaman5	281	4	0	6	0	0	4	4	0	0	1	300
Daniel	4835	260	0	625	40	64	560	74	4	0	13	6475
Daniel Case	2291	32	19	252	16	8	4358	147	26	0	3	7152
Daniel J. Leivick	692	7	0	18	1	0	73	5	0	0	0	796
Daniel Olsen	711	1	0	10	0	0	84	2	0	0	0	808
Daniel Quinlan	54	2	0	0	2	0	2	0	0	0	0	60
DanielCD	243	1	0	15	11	0	37	2	0	0	0	309
Dank	8996	81	0	120	7	1	1557	11	4	0	1	10778
Danny	1072	126	0	26	9	0	105	29	0	4	6	1377
Dannyisme	5	0	0	4	0	0	2	2	0	0	0	13
Dante Alighieri	651	18	0	20	17	3	175	29	0	0	0	913
DarkFalls	2609	140	0	294	37	70	704	41	3	0	5	3903
Darkoneko	2	0	0	0	0	0	1	0	0	1	0	4
Darthgriz98	249	4	0	5	0	0	115	2	0	0	0	375
Darwinek	2156	13	0	68	5	0	190	6	0	0	0	2438
Dave souza	77	3	0	14	2	0	523	20	2	0	0	641
Davemeistermoab	4	0	0	0	0	0	0	0	0	0	0	4
Davewild	2860	39	0	3	3	0	372	1	0	0	0	3278
Daveydweeb	134	1	0	2	0	0	4	1	0	0	0	142
David D.	26	4	0	12	1	5	11	2	1	0	0	62
David Eppstein	2211	27	0	31	7	0	42	1	1	0	0	2320
David Fuchs	896	24	0	60	4	11	83	8	0	0	0	1086
David Gerard	526	43	0	69	7	1	1439	357	0	0	1	2443
David Kernow	635	5	0	45	0	0	0	0	0	0	0	685
David Levy	890	114	0	217	58	3	138	10	1	0	6	1437
David Newton	54	3	0	4	0	0	12	12	0	0	0	85
David.Monniaux	515	60	0	99	13	0	219	28	2	0	0	936
DavidLevinson	35	51	0	9	0	0	9	0	0	0	0	104
DavidWBrooks	1203	1	0	13	2	1	94	0	0	0	0	1314
Davidcannon	155	57	0	30	4	0	137	26	1	0	0	410
Davidgothberg	67	55	0	84	6	28	19	6	0	0	0	265
Davidruben	35	0	0	7	1	1	78	2	0	0	0	124
Davodd	191	29	0	3	3	1	23	1	0	0	0	251
Dbachmann	396	28	0	127	40	16	198	19	1	0	0	825
Dbenbenn	6085	109	0	260	583	0	26	7	0	0	0	7070
Dcoetzee	324	46	0	10	4	0	51	11	0	0	1	447
Ddstretch	13	0	0	20	5	6	207	20	6	0	0	277
Deacon of Pndapetzim	554	21	0	28	2	3	161	11	12	0	34	826
DeadEyeArrow	934	14	0	26	5	0	199	6	0	0	0	1184
Deathphoenix	1168	49	0	17	5	0	420	80	0	0	0	1739
Deb	12796	46	0	22	1	0	301	4	1	0	0	13171
