User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
CanadianCaesar	3505	62	0	0	53	14	0	1084	85	0	0	0	4803
Canderson7	1183	11	0	0	18	13	1	220	2	0	0	0	1448
Canley	985	11	0	0	2	1	0	5	0	0	0	0	1004
Canterbury Tail	2353	8	0	0	97	8	10	479	23	18	0	0	2996
Cantthinkofagoodname	2	0	0	0	0	0	0	2	0	0	0	0	4
CapitalR	9220	11481	0	0	19	7	0	49	1	1	0	1	20779
Capitalistroadster	621	1	0	0	3	0	0	24	3	0	0	0	652
Carabinieri	448	7	0	0	4	3	0	3	2	0	0	0	467
Carbonite	188	3	0	0	28	10	0	226	22	0	0	0	477
Carcharoth	44	78	0	0	4	3	1	1	2	0	0	0	133
Caribbean H.Q.	377	16	0	0	75	10	9	259	20	0	0	1	767
Carioca	2977	14	0	0	7	1	1	10	0	0	0	0	3010
Carlosguitar	2924	20	0	0	30	1	3	167	11	0	0	0	3156
Carlossuarez46	10677	135	0	0	30	2	0	69	6	1	0	0	10920
Carnildo	2400	98	0	0	102	21	2	65	23	0	0	3	2714
Cary Bass	4	3	14	17	5	1	1	1	2	0	2	0	50
Casliber	161	101	32	1	258	31	58	124	6	1	0	15	788
Catbar	28	0	0	0	2	1	0	11	0	0	0	0	42
Catfish Jim and the soapdish	420	11	0	0	14	1	0	29	0	1	0	0	476
CatherineMunro	69	13	0	0	0	0	0	3	3	0	0	0	88
Catrope	2	0	0	0	0	0	0	0	0	0	0	4	6
CattleGirl	908	12	0	0	19	3	1	42	7	0	0	0	992
Caulde	2522	84	0	0	423	28	54	892	36	0	0	78	4117
Causa sui	2519	50	20	0	191	56	33	323	24	11	0	1	3228
Cbl62	45	2	0	0	9	0	0	0	0	0	0	0	56
Cbrown1023	3426	78	1	0	404	74	8	206	32	0	0	9	4238
Cburnett	52	18	0	0	6	2	0	14	5	0	0	0	97
Cdc	2188	10	0	0	10	9	0	21	2	0	0	0	2240
Cecropia	39	3	0	0	36	5	0	6	6	0	215	334	644
Cedrus-Libani	101	4	0	0	1	0	0	0	0	0	0	0	106
Celestianpower	745	9	0	0	19	3	0	170	70	0	0	0	1016
Cenarium	1811	81	2	0	398	147	221	140	4	9	0	34	2847
Centrx	17227	406	0	0	1007	947	13	1334	212	0	0	0	21146
Ceranthor	284	2	0	0	0	0	0	112	0	2	0	0	400
CesarB	3606	142	0	0	123	49	0	942	212	0	0	0	5074
Ceyockey	1787	50	0	0	4	0	0	16	2	0	0	0	1859
Chadloder	0	0	0	0	0	0	0	6	0	0	0	0	6
Chairboy	5162	13	0	0	69	8	0	189	14	0	0	0	5455
Chamal N	151	4	0	0	81	5	23	83	2	2	0	5	356
Chancemill	0	0	0	0	1	1	0	2	0	0	0	0	4
Charles Matthews	1990	50	0	0	5	1	0	141	20	0	0	0	2207
Chase me ladies, I'm the Cavalry	4267	112	142	34	530	32	59	1365	47	30	0	10	6628
