User	DL	UD	PT	UP	PM	BL	UB	BM	UR	RM	Total
CapitalR	61	1	3	5	0	47	1	0	0	1	119
Capitalistroadster	620	1	3	0	0	23	3	0	0	0	650
Carabinieri	401	7	4	3	0	2	0	0	0	0	417
Carbonite	188	3	28	10	0	226	22	0	0	0	477
Carcharoth	30	74	2	1	0	1	2	0	0	0	110
Caribbean H.Q.	320	11	50	10	6	221	18	0	0	0	636
Carioca	1873	7	4	1	0	9	0	0	0	0	1894
Carlosguitar	2924	20	30	1	3	166	11	0	0	0	3155
Carlossuarez46	10081	121	25	2	0	58	5	0	0	0	10292
Carnildo	2354	59	84	17	0	56	20	0	0	3	2593
Cary Bass	1	2	5	1	1	1	2	0	2	0	15
Casliber	59	39	107	4	11	103	3	0	0	2	328
Catbar	28	0	2	1	0	11	0	0	0	0	42
CatherineMunro	69	13	0	0	0	3	3	0	0	0	88
CattleGirl	908	12	19	3	1	42	7	0	0	0	992
Caulde	2522	84	423	28	54	892	36	0	0	78	4117
Cbl62	6	0	0	0	0	0	0	0	0	0	6
Cbrown1023	3423	75	399	71	7	205	32	0	0	8	4220
Cburnett	48	18	6	2	0	14	5	0	0	0	93
Cdc	2188	10	10	9	0	21	2	0	0	0	2240
Cecropia	39	3	36	5	0	6	6	0	215	328	638
Cedrus-Libani	101	4	1	0	0	0	0	0	0	0	106
Celestianpower	734	9	19	3	0	170	70	0	0	0	1005
Cenarium	1283	55	309	131	132	103	4	6	0	8	2031
Centrx	17162	398	997	947	12	1323	210	0	0	0	21049
CesarB	3606	141	123	49	0	941	212	0	0	0	5072
Ceyockey	1748	47	4	0	0	15	2	0	0	0	1816
Chadloder	0	0	0	0	0	6	0	0	0	0	6
Chairboy	5154	13	69	8	0	187	14	0	0	0	5445
Chancemill	0	0	1	1	0	2	0	0	0	0	4
Charles Matthews	1180	30	3	1	0	124	20	0	0	0	1358
Chase me ladies, I'm the Cavalry	1781	27	385	23	46	667	27	1	0	1	2958
Chaser	1934	84	269	40	34	815	109	2	0	4	3291
Chell and the cake	0	0	2	0	0	0	0	0	0	0	2
Chessnotator1967	0	0	1	0	0	0	0	0	0	0	1
Chick Bowen	4612	193	69	14	1	135	30	0	0	1	5055
Chillum	1401	22	34	7	4	453	29	8	0	4	1962
Chmod007	13	2	2	0	0	1	1	0	0	0	19
Chochopk	27	37	1	0	0	2	1	0	0	0	68
Choess	6	4	0	0	0	0	0	0	0	0	10
Cholmes75	4579	10	26	0	0	112	3	0	0	0	4730
Chris 73	1928	15	45	8	0	656	30	0	0	0	2682
Chris G	2521	22	222	14	28	1797	69	206	0	6	4885
Chris Roy	3	0	0	0	0	1	0	0	0	0	4
ChrisGriswold	1126	16	51	8	0	210	21	0	0	0	1432
ChrisO	2227	13	319	63	32	752	39	1	0	0	3446
ChrisTheDude	649	10	6	0	0	12	2	0	0	0	679
Chrislk02	4029	60	133	21	8	1626	91	12	0	5	5985
Christopher Mahan	38	5	0	0	0	0	0	0	0	0	43
Christopher Parham	495	6	4	2	0	24	1	0	0	0	532
Christopher Sundita	61	38	7	4	0	17	2	0	0	0	129
Chuck SMITH	0	1	0	0	0	0	0	0	0	0	1
Chunky Rice	329	1	4	2	0	25	2	0	0	0	363
Chuq	214	19	13	2	1	93	6	0	0	0	348
CieloEstrellado	0	0	1	0	0	0	0	0	0	0	1
Cimon Avaro	211	10	2	5	1	4	0	0	6	2	241
Circeus	1699	8	50	27	0	155	13	0	0	0	1952
Cirt	2815	35	172	6	20	1197	13	6	0	0	4264
Citicat	685	14	20	1	0	33	4	0	0	0	757
Ck lostsword	308	4	13	1	5	308	16	0	0	0	655
Ckatz	1043	38	149	5	19	449	17	3	0	1	1724
Clarkk	23	0	0	1	0	0	0	0	0	0	24
Cleared as filed	1345	19	0	0	0	53	2	0	0	0	1419
Climie.ca	0	0	1	0	0	10	1	1	0	1	14
ClockworkLunch	20	4	11	1	0	4	0	0	0	0	40
ClockworkSoul	750	46	36	7	4	212	19	3	0	0	1077
CloudNine	422	15	24	1	2	32	2	0	0	0	498
ClueBot	0	0	1	0	0	0	0	0	0	0	1
Cnwb	661	11	0	0	0	23	2	0	0	0	697
Cobaltbluetony	5810	78	393	23	7	327	18	0	0	0	6656
Coelacan	1194	30	85	10	1	845	53	0	0	0	2218
Coffee	774	52	79	6	35	224	8	0	0	2	1180
Coffeedrinker87	0	0	1	0	0	0	0	0	0	0	1
Cohesion	6785	40	2	15	1	3	0	0	0	0	6846
Commander Keane	4747	219	38	22	0	118	29	0	0	0	5173
Conscious	13435	64	2	2	0	56	0	0	0	0	13559
Consumed Crustacean	729	22	42	3	1	351	36	0	0	0	1184
Conti	457	41	12	38	1	70	3	0	0	1	623
Cool Hand Luke	883	546	56	8	20	68	15	0	0	0	1596
Coralmizu	154	2	23	1	2	46	2	0	0	0	230
Coredesat	11148	136	235	25	11	494	60	0	0	0	12109
Coren	819	20	49	6	4	165	32	2	0	1	1098
Cowman109	431	36	101	43	4	360	44	0	0	0	1019
Craigy144	3095	11	8	3	1	38	0	0	0	0	3156
Crazycomputers	439	8	54	15	5	678	40	0	0	1	1240
Crazytales	156	15	18	1	2	117	18	0	0	0	327
Cremepuff222	173	5	3	2	1	95	3	0	0	0	282
Croat Canuck	83	3	1	1	0	5	1	0	0	0	94
Crum375	168	18	84	6	3	208	12	0	0	0	499
Cryptic	9383	238	136	15	1	322	21	0	0	0	10116
CryptoDerk	1091	1	67	9	0	1014	45	0	0	0	2227
Crzrussian	5139	133	156	28	0	150	13	0	0	0	5619
Cuchullain	232	38	6	0	1	25	0	0	0	0	302
Curps	5148	166	461	101	0	26558	1065	0	0	0	33499
Cutler	69	0	0	0	0	7	0	0	0	0	76
CyborgTosser	2	0	0	0	0	0	0	0	0	0	2
Cyde	19064	106	258	32	2	828	168	0	0	0	20458
Cydebot	5020	0	0	0	0	0	0	0	0	0	5020
Cyp	3	0	0	0	0	0	0	0	0	0	3
Cyrius	1614	99	26	12	0	68	8	0	0	0	1827
D. Recorder	172	18	2	0	0	34	2	0	0	0	228
DDima	517	8	1	0	0	1	0	0	0	0	527
DESiegel	892	112	9	2	0	40	29	0	0	0	1084
DGG	6964	178	117	4	8	98	9	2	0	0	7380
DJ Clayworth	5136	29	37	11	0	281	18	0	0	0	5512
DMacks	3577	34	232	8	27	508	11	7	0	0	4404
DO11.10	417	28	1	0	0	2	1	0	0	2	451
DVD R W	6096	53	54	17	7	961	21	0	0	3	7212
DaGizza	833	1	7	4	1	53	3	0	0	0	902
Dale Arnett	67	1	2	0	0	4	0	0	0	0	74
Dan100	294	16	18	12	0	186	44	0	0	0	570
DanKeshet	104	1	6	0	0	2	0	0	0	0	113
DanMS	65	0	2	1	0	0	0	0	0	0	68
Danaman5	201	4	4	0	0	4	4	0	0	1	218
Daniel	4732	252	618	40	62	546	73	4	0	13	6340
Daniel Case	2137	31	238	15	7	4093	136	22	0	1	6680
Daniel J. Leivick	647	7	15	1	0	63	5	0	0	0	738
Daniel Olsen	711	1	10	0	0	84	2	0	0	0	808
Daniel Quinlan	54	2	0	2	0	2	0	0	0	0	60
DanielCD	243	1	15	11	0	37	2	0	0	0	309
Dank55	691	8	19	2	0	7	0	0	0	1	728
Danny	1072	126	26	9	0	105	29	0	4	6	1377
Dannyisme	5	0	4	0	0	2	2	0	0	0	13
Dante Alighieri	651	18	20	17	3	175	29	0	0	0	913
DarkFalls	2606	140	294	37	70	696	39	3	0	2	3887
Darkoneko	0	0	0	0	0	1	0	0	1	0	2
Darthgriz98	249	4	4	0	0	114	2	0	0	0	373
Darwinek	2133	13	68	4	0	188	6	0	0	0	2412
Dave souza	74	3	13	2	0	488	20	1	0	0	601
Davewild	2766	38	2	3	0	370	1	0	0	0	3180
Daveydweeb	134	1	2	0	0	4	1	0	0	0	142
David D.	24	4	10	0	3	7	1	0	0	0	49
David Eppstein	2012	21	26	6	0	26	1	0	0	0	2092
David Fuchs	853	23	53	2	10	80	7	0	0	0	1028
David Gerard	525	43	67	7	1	1439	357	0	0	1	2440
David Kernow	635	5	45	0	0	0	0	0	0	0	685
David Levy	827	110	208	58	3	134	10	0	0	4	1354
David Newton	54	3	4	0	0	12	12	0	0	0	85
David.Monniaux	507	60	98	13	0	215	28	1	0	0	922
DavidLevinson	35	50	9	0	0	9	0	0	0	0	103
DavidWBrooks	1202	1	12	2	1	94	0	0	0	0	1312
Davidcannon	154	57	30	4	0	135	26	0	0	0	406
Davidgothberg	61	52	76	5	26	18	6	0	0	0	244
Davidruben	27	0	7	1	1	77	2	0	0	0	115
Davodd	191	29	3	3	0	23	1	0	0	0	250
Dbachmann	370	28	111	40	9	179	19	0	0	0	756
Dbenbenn	6085	109	260	583	0	26	7	0	0	0	7070
Dcoetzee	267	42	7	2	0	42	9	0	0	1	370
Ddstretch	13	0	20	5	6	207	20	6	0	0	277
Deacon of Pndapetzim	495	12	25	2	3	135	6	11	0	1	690
DeadEyeArrow	934	14	26	5	0	199	6	0	0	0	1184
Deathphoenix	1168	49	17	5	0	418	80	0	0	0	1737
Deb	12592	46	22	1	0	294	4	1	0	0	12960
Deckiller	1228	35	80	14	1	300	46	0	0	0	1704
Decumanus	42	0	3	0	0	12	0	0	0	0	57
Deiz	951	15	161	8	2	392	20	0	0	0	1549
Dekimasu	688	40	10	1	0	13	0	0	0	0	752
Delirium	3466	22	20	11	0	305	18	0	0	0	3842
Delldot	1568	23	15	6	1	606	9	0	0	0	2228
Deltabeignet	836	1	5	6	0	130	2	0	0	0	980
Demi	151	32	2	1	0	51	17	0	0	0	254
Denelson83	1131	17	56	12	10	36	6	0	0	0	1268
Denni	2324	30	23	3	0	5	0	0	0	0	2385
DerHexer	134612	42	89	3	5	5835	38	2	0	19	140645
Derek Ross	521	11	11	3	3	1	0	0	0	0	550
Deryck Chan	1	1	0	2	0	1	0	0	0	0	5
Deskana	1291	86	212	76	15	962	108	16	318	141	3225
Deville	779	5	14	1	0	116	2	0	0	0	917
Dfrg.msc	35	1	0	0	0	7	0	0	0	0	43
Dgies	575	29	27	4	3	223	18	0	0	2	881
Dgrant	0	0	1	0	0	0	0	0	0	0	1
Diberri	120	3	3	1	0	5	0	0	0	0	132
Dieter Simon	3	0	16	0	1	0	0	0	0	0	20
Dijxtra	135	6	13	6	0	36	4	0	0	0	200
Dina	3371	18	49	1	0	273	5	0	0	0	3717
Dino	22	0	0	0	0	0	0	0	0	0	22
Discospinster	13097	345	120	8	12	1073	6	6	0	0	14667
Djsasso	949	165	29	5	2	342	7	0	0	8	1507
Dlohcierekim	4559	99	129	6	9	364	33	7	0	1	5207
Dmn	35	1	10	4	0	12	15	0	0	0	77
Doc glasgow	4087	123	370	42	11	1060	83	0	0	42	5818
Docu	1122	59	118	2	5	11	4	0	0	1	1322
Doczilla	69	2	9	6	0	85	8	0	0	0	179
Dominic	13208	57	78	185	1	2966	620	5	0	31	17151
Donald Albury	999	3	7	2	2	108	4	0	0	0	1125
DoomsDay349	222	4	0	0	0	0	0	0	0	0	226
Dori	11	0	0	0	0	2	2	0	0	0	15
Doug	244	12	9	8	0	13	3	0	0	3	292
Doug Bell	2427	36	29	12	0	25	3	0	0	0	2532
Dougweller	186	2	70	5	17	476	16	15	0	0	787
Dpbsmith	132	4	3	2	0	17	0	0	0	0	158
