User	DL	UD	RD	PT	UP	PM	BL	UB	BM	UR	RM	Total
Celestianpower	735	9	0	19	3	0	170	70	0	0	0	1006
Cenarium	1696	69	0	360	140	175	131	4	6	0	25	2606
Centrx	17220	404	0	1005	947	13	1334	212	0	0	0	21135
CesarB	3606	141	0	123	49	0	942	212	0	0	0	5073
Ceyockey	1778	47	0	4	0	0	15	2	0	0	0	1846
Chadloder	0	0	0	0	0	0	6	0	0	0	0	6
Chairboy	5156	13	0	69	8	0	187	14	0	0	0	5447
Chamal N	108	4	0	33	3	9	61	2	1	0	1	222
Chancemill	0	0	0	1	1	0	2	0	0	0	0	4
Charles Matthews	1938	36	0	5	1	0	130	20	0	0	0	2130
Chase me ladies, I'm the Cavalry	2529	49	0	443	26	49	856	32	16	0	1	4001
Chaser	2017	96	0	292	45	35	854	113	7	0	10	3469
Ched Davis	117	9	0	4	0	0	10	4	0	0	4	148
Chell and the cake	0	0	0	2	0	0	0	0	0	0	0	2
Chessnotator1967	0	0	0	1	0	0	0	0	0	0	0	1
Chick Bowen	4679	202	0	74	14	2	135	30	0	0	1	5137
Chillum	1473	27	0	56	11	7	689	47	74	0	8	2392
Chmod007	13	2	0	2	0	0	1	1	0	0	0	19
Chochopk	27	37	0	1	0	0	2	1	0	0	0	68
Choess	9	7	0	0	0	0	0	0	0	0	0	16
Cholmes75	4601	10	0	26	0	0	112	3	0	0	0	4752
Chris 73	1933	15	0	59	8	1	709	30	3	0	0	2758
Chris G	6901	157	0	249	15	38	2915	70	225	0	11	10581
Chris Roy	3	0	0	0	0	0	1	0	0	0	0	4
ChrisGriswold	1126	16	0	51	8	0	210	21	0	0	0	1432
ChrisO	2405	22	0	337	63	35	757	39	3	0	1	3662
ChrisTheDude	689	18	0	6	1	0	16	2	0	0	0	732
Chrislk02	4100	61	0	134	21	8	1632	91	12	0	5	6064
Christopher Mahan	38	5	0	0	0	0	0	0	0	0	0	43
Christopher Parham	637	8	0	4	2	0	24	1	0	0	0	676
Christopher Sundita	62	39	0	8	4	0	17	2	0	0	0	132
Chuck SMITH	0	1	0	0	0	0	0	0	0	0	0	1
Chunky Rice	342	1	0	4	3	0	31	2	0	0	0	383
Chuq	216	19	0	13	2	1	93	6	0	0	0	350
CieloEstrellado	0	0	0	1	0	0	0	0	0	0	0	1
Cimon Avaro	214	10	0	2	5	1	4	0	0	6	3	245
Circeus	1737	8	0	50	27	0	155	13	0	0	0	1990
Cirt	8047	67	0	412	19	62	4005	33	15	0	2	12662
Citicat	690	15	0	21	1	0	34	4	0	0	0	765
Ck lostsword	308	4	0	13	1	5	308	16	0	0	0	655
Ckatz	1356	53	0	187	5	40	792	18	18	0	1	2470
Clarkk	23	0	0	0	1	0	0	0	0	0	0	24
Cleared as filed	1346	19	0	0	0	0	53	2	0	0	0	1420
Climie.ca	0	0	0	2	1	0	12	1	1	0	1	18
ClockworkLunch	20	4	0	11	1	0	4	0	0	0	0	40
ClockworkSoul	758	46	0	38	7	4	214	19	3	0	0	1089
Closedmouth	18043	118	0	72	2	2	1033	31	48	0	32	19381
CloudNine	422	15	0	24	1	2	32	2	0	0	0	498
ClueBot	0	0	0	1	0	0	0	0	0	0	0	1
Cnwb	661	11	0	0	0	0	23	2	0	0	0	697
Cobaltbluetony	6526	91	0	421	24	8	392	20	4	0	0	7486
Cobi	50	0	0	1	0	0	3	1	0	0	1	56
Coelacan	1194	30	0	85	10	1	845	53	0	0	0	2218
Coffee	1005	65	0	101	7	37	261	9	4	0	6	1495
Coffeedrinker87	0	0	0	1	0	0	0	0	0	0	0	1
Cohesion	6798	46	0	2	18	1	3	0	0	0	0	6868
Colds7ream	128	5	0	1	1	0	2	0	0	0	2	139
Commander Keane	4769	219	0	39	22	0	144	29	0	0	1	5223
Conscious	13449	65	0	2	2	0	56	0	0	0	0	13574
Consumed Crustacean	732	22	0	42	3	1	354	36	1	0	0	1191
Conti	463	41	0	12	38	2	73	3	0	0	1	633
Cool Hand Luke	938	573	0	61	12	20	71	16	0	0	0	1691
Cool3	35	0	0	3	2	0	22	1	2	0	3	68
Coralmizu	168	2	0	23	1	2	47	2	1	0	0	246
Coredesat	11148	136	0	235	25	11	494	60	0	0	0	12109
Coren	857	22	38	55	7	6	183	35	3	0	1	1207
Cowman109	431	36	0	101	43	4	360	44	0	0	0	1019
Craigy144	3099	11	0	8	3	1	38	0	0	0	0	3160
Crazycomputers	443	8	0	54	15	6	716	40	2	0	3	1287
Crazytales	157	15	0	18	1	2	117	18	0	0	0	328
Cremepuff222	176	6	0	3	2	1	96	4	0	0	0	288
Croat Canuck	83	3	0	1	1	0	5	1	0	0	0	94
Crum375	181	18	0	89	6	12	227	12	0	0	0	545
Cryptic	9383	238	0	136	15	1	322	21	0	0	0	10116
CryptoDerk	1091	1	0	67	9	0	1014	45	0	0	0	2227
Crzrussian	5139	133	0	156	28	0	150	13	0	0	0	5619
Cuchullain	319	57	0	12	0	3	39	0	0	0	0	430
Curps	5148	166	0	461	101	0	26558	1065	0	0	0	33499
Cutler	69	0	0	0	0	0	7	0	0	0	0	76
CyborgTosser	2	0	0	0	0	0	0	0	0	0	0	2
Cyde	19095	107	0	258	32	2	829	168	0	0	0	20491
Cydebot	12836	0	0	0	0	0	0	0	0	0	0	12836
Cyp	3	0	0	0	0	0	0	0	0	0	0	3
Cyrius	1621	101	0	26	13	0	69	8	0	0	0	1838
D. Recorder	172	18	0	2	0	0	34	2	0	0	0	228
DDima	527	9	0	1	0	0	1	0	0	0	0	538
DESiegel	892	112	0	9	2	0	40	29	0	0	0	1084
DGG	9064	212	0	194	7	11	112	10	6	0	1	9617
DJ Clayworth	6164	31	0	39	11	0	333	18	3	0	0	6599
DMacks	5345	54	0	310	13	48	840	11	65	0	0	6686
DO11.10	417	28	0	2	0	0	4	1	0	0	2	454
DVD R W	6129	53	0	54	17	7	962	21	0	0	3	7246
DaGizza	941	1	0	8	4	1	54	3	0	0	0	1012
Dale Arnett	69	1	0	2	0	0	4	0	0	0	0	76
Dan100	294	16	0	18	12	0	186	44	0	0	0	570
DanKeshet	104	1	0	6	0	0	2	0	0	0	0	113
DanMS	65	0	0	2	1	0	0	0	0	0	0	68
Danaman5	284	4	0	6	0	0	4	4	0	0	1	303
Daniel	4953	266	0	632	41	65	566	76	4	0	13	6616
Daniel Case	2370	34	22	289	16	8	4761	166	32	0	9	7707
Daniel J. Leivick	732	7	0	19	1	0	76	5	1	0	0	841
Daniel Olsen	711	1	0	10	0	0	84	2	0	0	0	808
Daniel Quinlan	54	3	0	0	2	0	2	0	0	0	0	61
DanielCD	243	1	0	15	11	0	37	2	0	0	0	309
Dank	10194	86	0	124	7	1	2177	13	17	0	1	12620
Danny	1072	126	0	26	9	0	105	29	0	4	7	1378
