User	DL	UD	PT	UP	PM	BL	UB	BM	UR	RM	Total
Chase me ladies, I'm the Cavalry	1782	27	388	23	46	671	27	1	0	1	2966
Chaser	1971	86	277	41	34	831	111	4	0	8	3363
Chell and the cake	0	0	2	0	0	0	0	0	0	0	2
Chessnotator1967	0	0	1	0	0	0	0	0	0	0	1
Chick Bowen	4637	194	69	14	1	135	30	0	0	1	5081
Chillum	1428	23	41	9	6	534	36	32	0	4	2113
Chmod007	13	2	2	0	0	1	1	0	0	0	19
Chochopk	27	37	1	0	0	2	1	0	0	0	68
Choess	7	4	0	0	0	0	0	0	0	0	11
Cholmes75	4579	10	26	0	0	112	3	0	0	0	4730
Chris 73	1928	15	46	8	0	689	30	3	0	0	2719
Chris G	6483	35	236	15	31	1863	70	214	0	6	8953
Chris Roy	3	0	0	0	0	1	0	0	0	0	4
ChrisGriswold	1126	16	51	8	0	210	21	0	0	0	1432
ChrisO	2405	22	335	63	35	756	39	3	0	1	3659
ChrisTheDude	671	13	6	0	0	13	2	0	0	0	705
Chrislk02	4031	61	134	21	8	1631	91	12	0	5	5994
Christopher Mahan	38	5	0	0	0	0	0	0	0	0	43
Christopher Parham	495	6	4	2	0	24	1	0	0	0	532
Christopher Sundita	61	38	7	4	0	17	2	0	0	0	129
Chuck SMITH	0	1	0	0	0	0	0	0	0	0	1
Chunky Rice	342	1	4	3	0	31	2	0	0	0	383
Chuq	214	19	13	2	1	93	6	0	0	0	348
CieloEstrellado	0	0	1	0	0	0	0	0	0	0	1
Cimon Avaro	211	10	2	5	1	4	0	0	6	2	241
Circeus	1703	8	50	27	0	155	13	0	0	0	1956
Cirt	3757	40	293	8	34	1549	14	7	0	1	5703
Citicat	685	14	20	1	0	33	4	0	0	0	757
Ck lostsword	308	4	13	1	5	308	16	0	0	0	655
Ckatz	1121	40	156	5	23	527	18	9	0	1	1900
Clarkk	23	0	0	1	0	0	0	0	0	0	24
Cleared as filed	1346	19	0	0	0	53	2	0	0	0	1420
Climie.ca	0	0	1	0	0	10	1	1	0	1	14
ClockworkLunch	20	4	11	1	0	4	0	0	0	0	40
ClockworkSoul	750	46	36	7	4	212	19	3	0	0	1077
Closedmouth	2166	33	28	0	0	214	4	7	0	2	2454
CloudNine	422	15	24	1	2	32	2	0	0	0	498
ClueBot	0	0	1	0	0	0	0	0	0	0	1
Cnwb	661	11	0	0	0	23	2	0	0	0	697
Cobaltbluetony	6002	79	404	24	7	343	19	0	0	0	6878
Coelacan	1194	30	85	10	1	845	53	0	0	0	2218
Coffee	774	52	79	6	35	224	8	0	0	2	1180
Coffeedrinker87	0	0	1	0	0	0	0	0	0	0	1
Cohesion	6798	40	2	15	1	3	0	0	0	0	6859
Commander Keane	4747	219	38	22	0	118	29	0	0	0	5173
Conscious	13439	65	2	2	0	56	0	0	0	0	13564
Consumed Crustacean	729	22	42	3	1	352	36	0	0	0	1185
Conti	457	41	12	38	1	72	3	0	0	1	625
Cool Hand Luke	884	548	56	11	20	68	16	0	0	0	1603
Coralmizu	159	2	23	1	2	46	2	0	0	0	235
Coredesat	11148	136	235	25	11	494	60	0	0	0	12109
Coren	819	21	49	7	5	172	34	2	0	1	1110
Cowman109	431	36	101	43	4	360	44	0	0	0	1019
Craigy144	3095	11	8	3	1	38	0	0	0	0	3156
Crazycomputers	439	8	54	15	5	680	40	0	0	2	1243
Crazytales	156	15	18	1	2	117	18	0	0	0	327
Cremepuff222	174	5	3	2	1	96	4	0	0	0	285
Croat Canuck	83	3	1	1	0	5	1	0	0	0	94
Crum375	168	18	84	6	3	209	12	0	0	0	500
Cryptic	9383	238	136	15	1	322	21	0	0	0	10116
CryptoDerk	1091	1	67	9	0	1014	45	0	0	0	2227
Crzrussian	5139	133	156	28	0	150	13	0	0	0	5619
Cuchullain	251	41	8	0	2	37	0	0	0	0	339
Curps	5148	166	461	101	0	26558	1065	0	0	0	33499
Cutler	69	0	0	0	0	7	0	0	0	0	76
CyborgTosser	2	0	0	0	0	0	0	0	0	0	2
Cyde	19064	106	258	32	2	829	168	0	0	0	20459
Cydebot	6030	0	0	0	0	0	0	0	0	0	6030
Cyp	3	0	0	0	0	0	0	0	0	0	3
Cyrius	1614	99	26	13	0	68	8	0	0	0	1828
D. Recorder	172	18	2	0	0	34	2	0	0	0	228
DDima	517	8	1	0	0	1	0	0	0	0	527
DESiegel	892	112	9	2	0	40	29	0	0	0	1084
DGG	7606	192	141	4	10	106	10	6	0	1	8076
DJ Clayworth	5213	29	37	11	0	283	18	0	0	0	5591
DMacks	3807	38	245	9	28	583	11	22	0	0	4743
DO11.10	417	28	2	0	0	2	1	0	0	2	452
DVD R W	6096	53	54	17	7	962	21	0	0	3	7213
DaGizza	833	1	7	4	1	53	3	0	0	0	902
Dale Arnett	67	1	2	0	0	4	0	0	0	0	74
Dan100	294	16	18	12	0	186	44	0	0	0	570
DanKeshet	104	1	6	0	0	2	0	0	0	0	113
DanMS	65	0	2	1	0	0	0	0	0	0	68
Danaman5	269	4	6	0	0	4	4	0	0	1	288
Daniel	4763	257	623	40	63	554	74	4	0	13	6391
Daniel Case	2265	32	247	15	7	4237	142	22	0	2	6969
Daniel J. Leivick	677	7	18	1	0	69	5	0	0	0	777
Daniel Olsen	711	1	10	0	0	84	2	0	0	0	808
Daniel Quinlan	54	2	0	2	0	2	0	0	0	0	60
DanielCD	243	1	15	11	0	37	2	0	0	0	309
Dank	6323	70	96	4	1	278	3	3	0	1	6779
Danny	1072	126	26	9	0	105	29	0	4	6	1377
Dannyisme	5	0	4	0	0	2	2	0	0	0	13
Dante Alighieri	651	18	20	17	3	175	29	0	0	0	913
DarkFalls	2607	140	294	37	70	700	41	3	0	5	3897
Darkoneko	0	0	0	0	0	1	0	0	1	0	2
Darthgriz98	249	4	5	0	0	115	2	0	0	0	375
Darwinek	2149	13	68	5	0	189	6	0	0	0	2430
Dave souza	77	3	14	2	0	515	20	2	0	0	633
Davewild	2786	39	3	3	0	372	1	0	0	0	3204
Daveydweeb	134	1	2	0	0	4	1	0	0	0	142
David D.	26	4	12	0	5	10	2	1	0	0	60
David Eppstein	2065	22	29	7	0	41	1	1	0	0	2166
David Fuchs	857	23	53	3	10	81	8	0	0	0	1035
David Gerard	525	43	67	7	1	1439	357	0	0	1	2440
David Kernow	635	5	45	0	0	0	0	0	0	0	685
David Levy	848	114	214	58	3	136	10	1	0	6	1390
David Newton	54	3	4	0	0	12	12	0	0	0	85
David.Monniaux	509	60	98	13	0	216	28	1	0	0	925
DavidLevinson	35	51	9	0	0	9	0	0	0	0	104
DavidWBrooks	1203	1	12	2	1	94	0	0	0	0	1313
Davidcannon	154	57	30	4	0	135	26	0	0	0	406
Davidgothberg	66	55	84	6	28	19	6	0	0	0	264
Davidruben	31	0	7	1	1	78	2	0	0	0	120
Davodd	191	29	3	3	1	23	1	0	0	0	251
Dbachmann	377	28	118	40	12	191	19	1	0	0	786
Dbenbenn	6085	109	260	583	0	26	7	0	0	0	7070
Dcoetzee	323	46	8	2	0	48	9	0	0	1	437
Ddstretch	13	0	20	5	6	207	20	6	0	0	277
Deacon of Pndapetzim	514	17	26	2	3	154	9	12	0	1	738
DeadEyeArrow	934	14	26	5	0	199	6	0	0	0	1184
Deathphoenix	1168	49	17	5	0	420	80	0	0	0	1739
Deb	12726	46	22	1	0	299	4	1	0	0	13099
Deckiller	1228	35	80	14	2	300	46	0	0	0	1705
Decumanus	42	0	3	0	0	12	0	0	0	0	57
Deiz	951	15	161	8	2	392	20	0	0	0	1549
Dekimasu	727	44	10	1	0	14	0	0	0	1	797
Delirium	3467	23	20	11	0	305	18	0	0	0	3844
Delldot	1584	23	15	6	1	606	9	0	0	0	2244
Deltabeignet	836	1	5	6	0	130	2	0	0	0	980
Demi	151	32	2	1	0	51	17	0	0	0	254
Denelson83	1132	17	57	12	11	36	6	0	0	0	1271
Denni	2324	30	23	3	0	5	0	0	0	0	2385
DerHexer	134616	42	91	3	7	5839	38	2	0	19	140657
Derek Ross	521	11	11	3	3	1	0	0	0	0	550
Deryck Chan	1	1	0	2	0	1	0	0	0	0	5
Deskana	1351	86	216	77	16	989	109	31	326	146	3347
Deville	779	5	14	1	0	116	2	0	0	0	917
Dfrg.msc	35	1	0	0	0	7	0	0	0	0	43
Dgies	575	29	27	4	3	223	18	0	0	2	881
Dgrant	0	0	1	0	0	0	0	0	0	0	1
Diberri	124	3	3	1	0	5	0	0	0	0	136
Dieter Simon	3	0	19	0	1	0	0	0	0	0	23
Dijxtra	135	6	13	6	0	36	4	0	0	0	200
Dina	3371	18	49	1	0	273	5	0	0	0	3717
Dino	22	0	0	0	0	0	0	0	0	0	22
Dinoguy1000	5	0	14	0	0	0	0	0	0	1	20
Discospinster	13633	348	123	8	12	1084	6	6	0	0	15220
Djsasso	952	167	29	5	2	342	10	1	0	8	1516
Dlohcierekim	5013	111	144	7	11	402	35	9	0	1	5733
Dmn	35	1	10	4	0	12	15	0	0	0	77
Doc glasgow	4087	123	370	42	11	1060	83	0	0	42	5818
Docu	1149	59	122	2	5	11	5	0	0	2	1355
Doczilla	73	5	9	6	0	85	8	0	0	0	186
Dominic	13248	58	81	186	1	3110	630	15	0	32	17361
Donald Albury	1042	3	7	2	2	108	4	0	0	0	1168
DoomsDay349	222	4	0	0	0	0	0	0	0	0	226
Dori	11	0	0	0	0	2	2	0	0	0	15
Doug	244	12	9	8	0	13	3	0	0	3	292
Doug Bell	2427	36	29	12	0	25	3	0	0	0	2532
Dougweller	218	2	86	8	19	600	16	18	0	0	967
Dpbsmith	132	4	3	2	0	17	0	0	0	0	158
Dppowell	4	0	5	0	0	112	6	0	0	0	127
DrBob	17	1	0	0	0	7	0	0	0	0	25
DrKiernan	1222	16	31	4	3	118	7	0	0	0	1401
DragonflySixtyseven	19959	309	323	33	7	4035	179	136	0	0	24981
Dragons flight	608	65	107	35	1	117	28	0	0	1	962
Dravecky	363	3	74	5	0	0	0	0	0	0	445
Dreadstar	906	64	219	11	14	1757	96	2	0	0	3069
Drilnoth	4204	19	33	2	13	0	0	0	0	1	4272
Drini	9597	93	178	38	1	4449	232	1	0	8	14597
DropDeadGorgias	340	3	24	1	0	90	5	0	0	0	463
Dsmdgold	819	11	3	0	0	3	0	0	0	0	836
