User	DL	UD	RD	PT	UP	PM	BL	UB	BM	UR	RM	Total
Bumm13	842	39	0	6	1	0	31	4	0	0	5	928
Bunchofgrapes	738	10	0	62	44	0	203	37	0	0	0	1094
Burgundavia	1105	0	0	4	0	0	1	0	0	0	0	1110
Burstorder	0	0	0	2	0	0	0	0	0	0	0	2
Butseriouslyfolks	5143	83	0	36	3	1	137	15	0	0	0	5418
C-3PO	0	0	0	3	0	0	0	0	0	0	0	3
C.Fred	7260	57	0	207	5	6	1528	31	12	0	0	9106
C12H22O11	1351	5	0	49	8	0	47	7	0	0	0	1467
CALR	29	0	0	0	0	0	1	0	0	0	0	30
CAT:TEMP deletion bot	2120	0	0	0	0	0	0	0	0	0	0	2120
CBDunkerson	3497	64	0	683	49	0	30	22	0	0	1	4346
CBM	4315	112	0	236	96	22	56	18	1	0	3	4859
CIreland	997	32	0	169	12	23	353	18	9	0	1	1614
CJ	1927	79	0	112	22	3	277	18	0	0	1	2439
CJCurrie	389	19	0	126	8	2	118	13	0	0	0	675
CJLL Wright	1814	30	0	58	3	6	238	3	0	0	0	2152
CLW	13900	54	0	3	0	0	26	0	0	0	0	13983
CMBJ	0	0	0	1	0	0	0	0	0	0	0	1
COGDEN	53	14	0	2	0	0	4	0	1	0	0	74
CRGreathouse	7	0	0	0	0	0	1	1	1	0	0	10
CSTAR	58	4	0	6	3	0	93	3	0	0	0	167
CYD	1	0	0	1	0	0	0	0	0	0	0	2
Cactus.man	592	16	0	61	34	0	178	10	0	0	0	891
CactusWriter	445	86	0	5	2	0	25	3	4	0	3	573
Cacycle	175	11	0	25	2	1	11	0	0	0	1	226
Cailil	116	3	0	33	0	2	50	12	0	0	0	216
Caknuck	1943	8	0	185	30	32	706	11	6	0	0	2921
Calliopejen1	2730	80	0	11	2	0	5	0	0	0	0	2828
Caltrop	57	22	0	0	0	0	6	3	0	0	0	88
Camaron	722	254	0	293	48	72	274	27	18	0	17	1725
CambridgeBayWeather	14276	252	0	206	18	133	968	22	0	0	0	15875
Camembert	11	2	0	0	1	0	0	0	0	0	0	14
Camw	290	6	0	2	0	0	167	0	7	0	0	472
Can't sleep, clown will eat me	9514	230	0	3000	125	133	32088	586	0	0	0	45676
Canadian Paul	959	27	0	13	5	0	21	2	0	0	0	1027
Canadian-Bacon	426	2	0	16	3	0	232	5	0	0	0	684
CanadianCaesar	3505	62	0	53	14	0	1084	85	0	0	0	4803
Canderson7	1183	11	0	18	13	1	220	2	0	0	0	1448
Canley	745	7	0	0	1	0	3	0	0	0	0	756
