User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
CieloEstrellado	0	0	0	0	1	0	0	0	0	0	0	0	1
Cimon Avaro	235	10	0	0	2	5	1	4	0	0	6	5	268
Circeus	1748	8	0	0	50	27	0	156	13	0	0	0	2002
Cirt	21115	204	5	0	947	22	172	7790	50	28	0	2	30335
Citicat	727	19	0	0	24	1	0	36	4	0	0	0	811
Ck lostsword	308	4	0	0	13	1	5	308	16	0	0	0	655
Ckatz	1486	70	86	0	216	6	53	1047	18	33	0	4	3019
Clarkk	23	0	0	0	0	1	0	0	0	0	0	0	24
Cleared as filed	1346	19	0	0	0	0	0	53	2	0	0	0	1420
Climie.ca	0	0	0	0	2	1	0	13	1	1	0	1	19
ClockworkLunch	20	4	0	0	11	1	0	4	0	0	0	0	40
ClockworkSoul	759	46	1	0	39	7	4	223	19	4	0	0	1102
Closedmouth	24840	174	22	0	114	5	16	1998	46	89	0	45	27349
CloudNine	424	15	0	0	24	1	2	32	2	0	0	0	500
ClueBot	0	0	0	0	1	0	0	0	0	0	0	0	1
Cnwb	661	11	0	0	0	0	0	23	2	0	0	0	697
Cobaltbluetony	7311	93	5	0	452	24	9	471	22	5	0	0	8392
Cobi	51	0	0	0	2	0	0	5	1	0	0	1	60
Coelacan	1194	30	0	0	85	10	1	845	53	0	0	0	2218
Coffee	1414	180	1	0	180	10	119	410	16	90	0	11	2431
Coffeedrinker87	0	0	0	0	1	0	0	0	0	0	0	0	1
Cohesion	6799	46	0	0	2	18	1	3	0	0	0	0	6869
Colds7ream	143	9	0	0	2	1	0	2	0	0	0	2	159
Commander Keane	4877	232	1	0	42	22	1	153	29	1	0	3	5361
Connormah	15	1	87	0	54	4	45	378	5	26	0	1	616
Conscious	13449	65	0	0	2	2	0	56	0	0	0	0	13574
Consumed Crustacean	738	23	0	0	46	3	1	354	36	1	0	0	1202
Conti	464	45	0	0	12	38	3	73	3	0	0	1	639
Cool Hand Luke	944	574	1	0	65	12	20	95	17	0	0	0	1728
Cool3	35	0	0	0	3	2	0	22	1	2	0	3	68
Coralmizu	168	2	0	0	23	1	2	47	2	1	0	0	246
Coredesat	11148	136	0	0	235	25	11	494	60	0	0	0	12109
Coren	866	23	42	1	58	7	8	243	44	8	0	1	1301
Courcelles	4937	191	169	0	2047	711	233	945	11	35	0	3279	12558
