User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
Baboon Faceless	0	0	0	0	2	0	0	0	0	0	0	0	2
Backslash Forwardslash	4355	92	0	0	89	4	12	403	6	61	0	7	5029
Balloonman	272	13	0	0	14	2	1	50	8	4	0	2	366
Banes	62	7	0	0	2	0	0	158	2	0	0	0	231
Banno	10	5	0	0	9	2	0	50	2	0	0	0	78
BanyanTree	2043	65	0	0	203	245	4	409	11	0	0	0	2980
Barneca	1231	47	0	0	110	11	14	1013	46	19	0	1	2492
Barneca sock 1	0	0	0	0	1	0	0	0	0	0	0	0	1
BaronLarf	211	26	0	0	26	1	1	190	1	2	0	0	458
Bastique	358	93	8	1	48	8	5	121	51	0	8	51	752
Bazonka	0	0	0	0	1	0	0	0	0	0	0	0	1
Bbatsell	391	9	0	0	18	2	0	350	18	0	0	0	788
Bcorr	131	7	0	0	9	1	0	67	10	0	2	1	228
Bdesham	26	0	0	0	3	0	0	0	0	0	0	0	29
Bduke	261	18	0	0	26	8	3	27	0	0	0	0	343
Bearcat	4369	236	0	0	117	9	6	78	8	2	0	0	4825
Bearian	1312	20	0	0	258	4	3	695	35	2	0	1	2330
Bedford	9	3	0	0	50	0	4	5	2	0	0	0	73
Beeblebrox	2727	8	0	0	481	12	61	891	81	129	0	4	4394
Beetstra	767	69	0	0	101	20	13	461	32	10	0	1	1474
Bel123456	0	0	0	0	1	0	0	0	0	0	0	0	1
Beland	197	1	0	0	14	12	1	11	0	0	0	0	236
Bellhalla	22	2	0	0	0	0	0	0	0	0	0	0	24
Ben MacDui	410	4	0	0	2	0	0	11	1	0	0	0	428
Bencherlite	4231	117	0	0	186	5	14	568	10	11	0	12	5154
Berig	28	0	0	0	2	0	2	10	0	0	0	1	43
Betacommand	7463	46	0	0	76	379	0	3297	120	0	0	0	11381
Bettia	449	9	0	0	14	1	0	6	1	1	0	0	481
Bhadani	1302	7	0	0	95	19	1	478	10	0	0	0	1912
Bibliomaniac15	4089	26	0	0	228	32	21	1411	23	5	887	60	6782
BigHaz	3152	2	0	0	8	6	0	33	2	0	0	0	3203
BigrTex	960	10	0	0	2	0	0	1	0	0	0	0	973
Bigtimepeace	494	8	0	0	2	1	1	76	4	2	0	1	589
Bill	0	0	0	0	1	0	0	0	0	0	0	0	1
Billinghurst	1100	6	0	0	2	0	0	4	1	3	0	1	1117
BillyH	48	2	0	0	0	1	0	1	0	0	0	0	52
BirgitteSB	175	7	0	0	0	0	0	1	1	0	0	1	185
Bishonen	579	76	0	0	201	47	9	574	209	1	0	0	1696
