User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
Bryan Derksen	828	324	0	0	5	7	0	10	0	0	0	2	1176
Bsadowski1	1218	21	895	0	316	8	239	4418	65	897	0	14	8091
Bubba hotep	3312	72	9	0	60	3	7	1052	12	27	0	9	4563
Buchanan-Hermit	514	18	0	0	28	6	0	452	20	0	0	0	1038
Bucketsofg	652	22	0	0	66	6	0	224	8	0	0	0	978
Buckshot06	514	12	0	0	37	0	3	41	1	1	0	0	609
Bumm13	855	42	0	0	6	1	0	32	4	2	0	5	947
Bunchofgrapes	738	10	0	0	62	44	0	203	37	0	0	0	1094
Burgundavia	1105	0	0	0	4	0	0	1	0	0	0	0	1110
Burstorder	0	0	0	0	2	0	0	0	0	0	0	0	2
Butseriouslyfolks	5143	83	0	0	36	3	1	137	15	0	0	0	5418
Bwilkins	4832	55	4	0	197	2	18	490	120	226	0	17	5961
C-3PO	0	0	0	0	3	0	0	0	0	0	0	0	3
C.Fred	14807	126	128	0	322	8	11	2359	46	62	0	1	17870
C12H22O11	1357	5	0	0	49	8	0	47	7	0	0	0	1473
CALR	29	0	0	0	0	0	0	1	0	0	0	0	30
CAT:TEMP deletion bot	2120	0	0	0	0	0	0	0	0	0	0	0	2120
CBDunkerson	3506	64	0	0	683	49	0	32	22	0	0	1	4357
CBM	4544	157	1	0	257	100	24	85	32	4	0	59	5263
CIreland	1737	44	23	0	236	17	33	534	18	25	0	1	2668
CJ	1933	79	0	0	112	22	3	277	18	0	0	3	2447
CJCurrie	436	23	1	0	130	9	2	129	13	0	0	0	743
CJLL Wright	1872	30	0	0	61	3	7	256	4	0	0	0	2233
CLW	13930	54	0	0	3	0	0	26	0	0	0	0	14013
CMBJ	0	0	0	0	1	0	0	0	0	0	0	0	1
COGDEN	65	18	19	0	3	1	0	4	0	1	0	0	111
CRGreathouse	19	0	0	0	5	0	3	1	1	1	0	0	30
CSTAR	58	5	0	0	6	3	0	93	3	0	0	0	168
CT Cooper	1298	444	132	0	431	87	118	489	38	56	0	26	3119
CYD	1	0	0	0	1	0	0	0	0	0	0	0	2
Cactus.man	594	18	0	0	61	34	0	178	10	0	0	0	895
CactusWriter	5675	162	43	0	81	2	2	136	6	7	0	4	6118
Cacycle	188	11	0	0	26	2	1	13	1	0	0	1	243
Cailil	189	4	10	0	34	0	2	121	14	12	0	0	386
