User	DL	UD	RD	PT	UP	PM	BL	UB	BM	UR	RM	Total
CactusWriter	1107	105	0	17	2	0	43	4	5	0	4	1287
Cacycle	181	11	0	26	2	1	13	1	0	0	1	236
Cailil	116	3	0	33	0	2	53	12	0	0	0	219
Caknuck	1944	8	0	187	30	32	717	11	6	0	0	2935
Calliopejen1	2763	81	0	11	2	0	5	0	0	0	0	2862
Caltrop	58	22	0	0	0	0	6	3	0	0	0	89
Camaron	779	306	0	323	52	82	307	27	27	0	21	1924
CambridgeBayWeather	14825	261	0	219	18	138	1007	23	8	0	0	16499
Camembert	12	2	0	0	1	0	0	0	0	0	0	15
Camw	383	11	0	5	0	0	171	0	7	0	0	577
Can't sleep, clown will eat me	9514	230	0	3000	125	133	32088	586	0	0	0	45676
Canadian Paul	1003	32	0	15	5	0	22	3	0	0	0	1080
Canadian-Bacon	426	2	0	16	3	0	232	5	0	0	0	684
CanadianCaesar	3505	62	0	53	14	0	1084	85	0	0	0	4803
Canderson7	1183	11	0	18	13	1	220	2	0	0	0	1448
Canley	886	11	0	0	1	0	4	0	0	0	0	902
Canterbury Tail	1476	7	0	84	8	9	403	23	12	0	0	2022
Cantthinkofagoodname	2	0	0	0	0	0	2	0	0	0	0	4
CapitalR	356	2	0	3	5	0	49	1	1	0	1	418
Capitalistroadster	620	1	0	3	0	0	23	3	0	0	0	650
Carabinieri	415	7	0	4	3	0	3	2	0	0	0	434
Carbonite	188	3	0	28	10	0	226	22	0	0	0	477
Carcharoth	36	75	0	2	1	0	1	2	0	0	0	117
Caribbean H.Q.	363	14	0	70	10	8	250	20	0	0	0	735
Carioca	2568	11	0	6	1	1	9	0	0	0	0	2596
Carlosguitar	2924	20	0	30	1	3	166	11	0	0	0	3155
Carlossuarez46	10576	129	0	27	2	0	66	6	1	0	0	10807
Carnildo	2388	98	0	93	17	2	60	21	0	0	3	2682
Cary Bass	2	2	14	5	1	1	1	2	0	2	0	30
Casliber	103	64	7	145	7	27	111	6	0	0	2	472
Catbar	28	0	0	2	1	0	11	0	0	0	0	42
CatherineMunro	69	13	0	0	0	0	3	3	0	0	0	88
CattleGirl	908	12	0	19	3	1	42	7	0	0	0	992
Caulde	2522	84	0	423	28	54	892	36	0	0	78	4117
Causa sui	1691	40	0	88	53	20	255	17	3	0	1	2168
Cbl62	14	0	0	6	0	0	0	0	0	0	0	20
Cbrown1023	3423	77	0	404	72	7	206	32	0	0	8	4229
Cburnett	48	18	0	6	2	0	14	5	0	0	0	93
Cdc	2188	10	0	10	9	0	21	2	0	0	0	2240
Cecropia	39	3	0	36	5	0	6	6	0	215	334	644
Cedrus-Libani	101	4	0	1	0	0	0	0	0	0	0	106
Celestianpower	735	9	0	19	3	0	170	70	0	0	0	1006
Cenarium	1740	75	0	361	140	177	131	4	6	0	27	2661
Centrx	17224	404	0	1005	947	13	1334	212	0	0	0	21139
CesarB	3606	141	0	123	49	0	942	212	0	0	0	5073
Ceyockey	1779	47	0	4	0	0	15	2	0	0	0	1847
Chadloder	0	0	0	0	0	0	6	0	0	0	0	6
Chairboy	5160	13	0	69	8	0	187	14	0	0	0	5451
Chamal N	121	4	0	54	3	14	69	2	1	0	5	273
Chancemill	0	0	0	1	1	0	2	0	0	0	0	4
Charles Matthews	1939	36	0	5	1	0	130	20	0	0	0	2131
Chase me ladies, I'm the Cavalry	2529	49	0	443	26	49	856	32	16	0	1	4001
Chaser	2026	97	0	308	45	37	855	113	7	0	10	3498
Ched Davis	118	9	0	4	0	0	11	4	0	0	4	150
Chell and the cake	0	0	0	2	0	0	0	0	0	0	0	2
Chessnotator1967	0	0	0	1	0	0	0	0	0	0	0	1
Chick Bowen	4707	209	0	78	14	3	137	30	0	0	1	5179
Chillum	1493	27	0	60	12	7	732	52	75	0	10	2468
Chmod007	13	2	0	2	0	0	1	1	0	0	0	19
Chochopk	27	37	0	1	0	0	2	1	0	0	0	68
Choess	10	7	0	0	0	0	0	0	0	0	0	17
Cholmes75	4601	10	0	26	0	0	112	3	0	0	0	4752
Chris 73	1933	15	0	62	8	1	712	30	3	0	0	2764
Chris G	6907	172	0	250	15	38	2927	70	227	0	11	10617
Chris Roy	3	0	0	0	0	0	1	0	0	0	0	4
ChrisGriswold	1126	16	0	51	8	0	210	21	0	0	0	1432
ChrisO	2405	22	0	337	63	35	757	39	3	0	1	3662
ChrisTheDude	690	18	0	6	1	0	16	2	0	0	0	733
Chrislk02	4101	61	0	134	21	8	1632	91	12	0	5	6065
Christopher Mahan	38	5	0	0	0	0	0	0	0	0	0	43
Christopher Parham	646	8	0	4	2	0	24	1	0	0	0	685
Christopher Sundita	62	39	0	8	4	0	17	2	0	0	0	132
Chuck SMITH	0	1	0	0	0	0	0	0	0	0	0	1
Chunky Rice	342	1	0	4	3	0	31	2	0	0	0	383
Chuq	216	19	0	13	2	1	93	6	0	0	0	350
CieloEstrellado	0	0	0	1	0	0	0	0	0	0	0	1
Cimon Avaro	220	10	0	2	5	1	4	0	0	6	3	251
Circeus	1737	8	0	50	27	0	155	13	0	0	0	1990
Cirt	9923	76	0	502	19	88	4238	35	19	0	2	14902
Citicat	715	15	0	22	1	0	34	4	0	0	0	791
Ck lostsword	308	4	0	13	1	5	308	16	0	0	0	655
Ckatz	1374	58	0	194	6	42	836	18	19	0	1	2548
Clarkk	23	0	0	0	1	0	0	0	0	0	0	24
Cleared as filed	1346	19	0	0	0	0	53	2	0	0	0	1420
Climie.ca	0	0	0	2	1	0	13	1	1	0	1	19
ClockworkLunch	20	4	0	11	1	0	4	0	0	0	0	40
ClockworkSoul	758	46	0	39	7	4	216	19	4	0	0	1093
Closedmouth	19717	142	0	76	2	7	1274	37	62	0	37	21354
CloudNine	422	15	0	24	1	2	32	2	0	0	0	498
ClueBot	0	0	0	1	0	0	0	0	0	0	0	1
Cnwb	661	11	0	0	0	0	23	2	0	0	0	697
Cobaltbluetony	6527	91	0	421	24	8	393	20	4	0	0	7488
Cobi	51	0	0	1	0	0	3	1	0	0	1	57
Coelacan	1194	30	0	85	10	1	845	53	0	0	0	2218
Coffee	1243	174	0	155	10	67	350	15	82	0	8	2104
Coffeedrinker87	0	0	0	1	0	0	0	0	0	0	0	1
Cohesion	6798	46	0	2	18	1	3	0	0	0	0	6868
Colds7ream	135	6	0	1	1	0	2	0	0	0	2	147
Commander Keane	4774	227	0	40	22	0	148	29	0	0	1	5241
Conscious	13449	65	0	2	2	0	56	0	0	0	0	13574
Consumed Crustacean	732	22	0	42	3	1	354	36	1	0	0	1191
Conti	463	45	0	12	38	2	73	3	0	0	1	637
Cool Hand Luke	938	573	0	61	12	20	71	16	0	0	0	1691
Cool3	35	0	0	3	2	0	22	1	2	0	3	68
Coralmizu	168	2	0	23	1	2	47	2	1	0	0	246
Coredesat	11148	136	0	235	25	11	494	60	0	0	0	12109
Coren	858	22	41	55	7	6	189	35	3	0	1	1217
Cowman109	433	36	0	101	43	4	360	44	0	0	0	1021
Craigy144	3099	11	0	8	3	1	38	0	0	0	1	3161
Crazycomputers	443	8	0	54	15	6	716	40	2	0	3	1287
Crazytales	158	15	0	18	1	2	117	18	0	0	0	329
Cremepuff222	176	6	0	3	2	1	98	5	0	0	0	291
Croat Canuck	83	3	0	1	1	0	5	1	0	0	0	94
Crum375	182	18	0	90	6	12	237	12	1	0	0	558
Cryptic	9383	238	0	136	15	1	322	21	0	0	0	10116
CryptoDerk	1091	1	0	67	9	0	1014	45	0	0	0	2227
Crzrussian	5139	133	0	156	28	0	150	13	0	0	0	5619
Cuchullain	356	69	0	12	0	3	40	0	0	0	0	480
Curps	5148	166	0	461	101	0	26558	1065	0	0	0	33499
Cutler	69	0	0	0	0	0	7	0	0	0	0	76
CyborgTosser	2	0	0	0	0	0	0	0	0	0	0	2
Cyde	19096	107	0	258	32	2	830	168	0	0	0	20493
Cydebot	14845	0	0	0	0	0	0	0	0	0	0	14845
Cyp	3	0	0	0	0	0	0	0	0	0	0	3
Cyrius	1625	101	0	27	13	0	69	8	0	0	0	1843
D. Recorder	172	18	0	2	0	0	34	2	0	0	0	228
DDima	527	9	0	1	0	0	1	0	0	0	0	538
DESiegel	1155	164	0	10	2	0	42	30	0	0	0	1403
DGG	9570	217	0	224	7	12	115	10	6	0	1	10162
DJ Clayworth	6432	33	0	39	11	0	350	18	4	0	0	6887
DMacks	5538	54	0	326	13	53	920	11	76	0	1	6992
DO11.10	417	28	0	2	0	0	5	1	0	0	2	455
