User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
Borisblue	248	1	0	0	14	39	0	92	8	0	0	0	402
Bovlb	24	2	0	0	14	1	0	29	2	1	0	1	74
BozMo	291	6	2	0	20	3	3	161	18	0	0	0	504
BradBeattie	294	0	0	0	6	0	0	118	3	0	0	0	421
BradPatrick	17	0	0	0	4	0	0	5	0	0	0	0	26
Bradeos Graphon	4880	19	0	0	65	19	3	1214	80	0	0	0	6280
Brandon	3901	77	1	0	109	39	26	822	37	48	0	21	5081
Bratsche	568	16	0	0	18	46	0	145	19	0	0	0	812
Brendanconway	957	23	0	0	26	8	0	87	14	0	0	0	1115
BrendelSignature	4	0	0	0	74	5	4	105	8	0	0	0	200
Brian	6	2	0	0	3	0	1	3	1	0	0	0	16
Brian Kendig	28	3	0	0	5	6	0	2	0	0	0	0	44
Brian0918	932	79	0	0	258	47	4	2144	109	1	0	0	3574
Brianga	2306	9	0	0	1	1	1	468	7	5	0	0	2798
Briangotts	138	7	0	0	1	0	0	7	0	0	0	0	153
Brighterorange	181	12	0	0	1	0	0	21	1	0	0	0	216
Brion VIBBER	192	9	0	0	12	0	1	27	11	0	0	4	256
Brockert	189	51	0	0	3	3	0	31	30	0	0	0	307
BrokenSegue	1363	11	0	0	63	67	0	153	40	0	0	0	1697
Brookie	4167	54	2	0	261	3	3	474	7	17	0	0	4988
BrownHairedGirl	1729	176	0	0	159	8	12	143	18	4	0	0	2249
Bryan Derksen	828	324	0	0	5	7	0	10	0	0	0	2	1176
Bsadowski1	955	16	691	0	143	4	124	2902	35	479	0	6	5355
Bubba hotep	3312	72	9	0	60	3	7	1052	12	27	0	9	4563
Buchanan-Hermit	514	18	0	0	28	6	0	452	20	0	0	0	1038
Bucketsofg	651	22	0	0	66	6	0	224	8	0	0	0	977
Buckshot06	438	11	0	0	21	0	2	25	0	1	0	0	498
Bumm13	846	42	0	0	6	1	0	32	4	2	0	5	938
Bunchofgrapes	738	10	0	0	62	44	0	203	37	0	0	0	1094
Burgundavia	1105	0	0	0	4	0	0	1	0	0	0	0	1110
Burstorder	0	0	0	0	2	0	0	0	0	0	0	0	2
Butseriouslyfolks	5143	83	0	0	36	3	1	137	15	0	0	0	5418
Bwilkins	4189	24	2	0	75	1	6	156	76	93	0	4	4626
C-3PO	0	0	0	0	3	0	0	0	0	0	0	0	3
C.Fred	12384	108	92	0	291	6	9	2138	44	54	0	1	15127
C12H22O11	1357	5	0	0	49	8	0	47	7	0	0	0	1473
CALR	29	0	0	0	0	0	0	1	0	0	0	0	30
CAT:TEMP deletion bot	2120	0	0	0	0	0	0	0	0	0	0	0	2120
CBDunkerson	3503	64	0	0	683	49	0	31	22	0	0	1	4353
CBM	4395	148	0	0	250	100	24	82	30	4	0	59	5092
CIreland	1698	43	21	0	217	15	30	488	18	20	0	1	2551
CJ	1932	79	0	0	112	22	3	277	18	0	0	3	2446
CJCurrie	423	23	1	0	128	9	2	127	13	0	0	0	726
CJLL Wright	1872	30	0	0	61	3	7	256	4	0	0	0	2233
CLW	13929	54	0	0	3	0	0	26	0	0	0	0	14012
CMBJ	0	0	0	0	1	0	0	0	0	0	0	0	1
COGDEN	65	18	19	0	3	1	0	4	0	1	0	0	111
CRGreathouse	14	0	0	0	1	0	2	1	1	1	0	0	20
CSTAR	58	5	0	0	6	3	0	93	3	0	0	0	168
CT Cooper	1104	372	90	0	377	71	108	401	34	44	0	25	2626
CYD	1	0	0	0	1	0	0	0	0	0	0	0	2
Cactus.man	594	18	0	0	61	34	0	178	10	0	0	0	895
CactusWriter	3686	143	11	0	48	2	0	99	6	7	0	4	4006
Cacycle	187	11	0	0	26	2	1	13	1	0	0	1	242
Cailil	125	3	3	0	34	0	2	73	12	4	0	0	256
Caknuck	2127	9	0	0	287	40	53	802	12	9	0	0	3339
Calliopejen1	3444	111	0	0	12	3	0	10	0	0	0	0	3580
Calmer Waters	12011	6	3	0	45	0	1	259	4	8	0	85	12422
Caltrop	58	22	0	0	0	0	0	8	3	0	0	0	91
CambridgeBayWeather	16481	309	3	0	276	51	143	1105	24	8	0	0	18400
Camembert	12	2	0	0	0	1	0	0	0	0	0	0	15
Camw	543	22	10	0	15	0	3	192	0	9	0	0	794
Can't sleep, clown will eat me	9514	230	0	0	3000	125	133	32088	586	0	0	0	45676
Canadian Paul	1058	37	0	0	20	6	1	25	3	0	0	0	1150
Canadian-Bacon	426	2	0	0	16	3	0	232	5	0	0	0	684
CanadianCaesar	3505	62	0	0	53	14	0	1084	85	0	0	0	4803
Canderson7	1183	11	0	0	18	13	1	220	2	0	0	0	1448
Canley	957	11	0	0	2	1	0	4	0	0	0	0	975
Canterbury Tail	2298	8	0	0	93	8	10	468	23	18	0	0	2926
Cantthinkofagoodname	2	0	0	0	0	0	0	2	0	0	0	0	4
CapitalR	9220	11481	0	0	19	7	0	49	1	1	0	1	20779
Capitalistroadster	620	1	0	0	3	0	0	24	3	0	0	0	651
Carabinieri	438	7	0	0	4	3	0	3	2	0	0	0	457
