User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
Bunchofgrapes	738	10	0	0	62	44	0	203	37	0	0	0	1094
Burgundavia	1105	0	0	0	4	0	0	1	0	0	0	0	1110
Burstorder	0	0	0	0	2	0	0	0	0	0	0	0	2
Butseriouslyfolks	5143	83	0	0	36	3	1	137	15	0	0	0	5418
Bwilkins	4213	24	3	0	80	1	6	159	76	97	0	4	4663
C-3PO	0	0	0	0	3	0	0	0	0	0	0	0	3
C.Fred	12603	112	94	0	296	7	9	2159	44	56	0	1	15381
C12H22O11	1357	5	0	0	49	8	0	47	7	0	0	0	1473
CALR	29	0	0	0	0	0	0	1	0	0	0	0	30
CAT:TEMP deletion bot	2120	0	0	0	0	0	0	0	0	0	0	0	2120
CBDunkerson	3503	64	0	0	683	49	0	32	22	0	0	1	4354
CBM	4395	149	0	0	251	100	24	83	30	4	0	59	5095
CIreland	1699	43	21	0	220	15	30	492	18	20	0	1	2559
CJ	1932	79	0	0	112	22	3	277	18	0	0	3	2446
CJCurrie	424	23	1	0	128	9	2	127	13	0	0	0	727
CJLL Wright	1872	30	0	0	61	3	7	256	4	0	0	0	2233
CLW	13929	54	0	0	3	0	0	26	0	0	0	0	14012
CMBJ	0	0	0	0	1	0	0	0	0	0	0	0	1
COGDEN	65	18	19	0	3	1	0	4	0	1	0	0	111
CRGreathouse	15	0	0	0	2	0	3	1	1	1	0	0	23
CSTAR	58	5	0	0	6	3	0	93	3	0	0	0	168
CT Cooper	1114	372	93	0	377	71	108	406	34	44	0	25	2644
CYD	1	0	0	0	1	0	0	0	0	0	0	0	2
Cactus.man	594	18	0	0	61	34	0	178	10	0	0	0	895
CactusWriter	3850	147	11	0	48	2	0	105	6	7	0	4	4180
Cacycle	187	11	0	0	26	2	1	13	1	0	0	1	242
Cailil	126	3	3	0	34	0	2	73	12	4	0	0	257
Caknuck	2127	9	0	0	287	40	53	802	12	9	0	0	3339
Calliopejen1	3786	119	0	0	12	3	0	10	0	0	0	0	3930
Calmer Waters	12012	6	3	0	45	0	1	259	4	8	0	85	12423
Caltrop	58	22	0	0	0	0	0	8	3	0	0	0	91
CambridgeBayWeather	16553	325	3	0	277	51	143	1109	24	8	0	0	18493
Camembert	12	2	0	0	0	1	0	0	0	0	0	0	15
Camw	543	22	10	0	16	0	3	192	0	9	0	0	795
Can't sleep, clown will eat me	9514	230	0	0	3000	125	133	32088	586	0	0	0	45676
Canadian Paul	1063	37	0	0	20	6	1	25	3	0	0	0	1155
Canadian-Bacon	426	2	0	0	16	3	0	232	5	0	0	0	684
CanadianCaesar	3505	62	0	0	53	14	0	1084	85	0	0	0	4803
Canderson7	1183	11	0	0	18	13	1	220	2	0	0	0	1448
Canley	963	11	0	0	2	1	0	4	0	0	0	0	981
Canterbury Tail	2310	8	0	0	93	8	10	468	23	18	0	0	2938
Cantthinkofagoodname	2	0	0	0	0	0	0	2	0	0	0	0	4
CapitalR	9220	11481	0	0	19	7	0	49	1	1	0	1	20779
Capitalistroadster	620	1	0	0	3	0	0	24	3	0	0	0	651
Carabinieri	448	7	0	0	4	3	0	3	2	0	0	0	467
Carbonite	188	3	0	0	28	10	0	226	22	0	0	0	477
Carcharoth	44	78	0	0	4	3	1	1	2	0	0	0	133
Caribbean H.Q.	377	16	0	0	75	10	9	259	20	0	0	1	767
Carioca	2962	12	0	0	7	1	1	10	0	0	0	0	2993
Carlosguitar	2924	20	0	0	30	1	3	167	11	0	0	0	3156
Carlossuarez46	10582	132	0	0	27	2	0	66	6	1	0	0	10816
Carnildo	2399	98	0	0	100	21	2	65	23	0	0	3	2711
Cary Bass	4	3	14	17	5	1	1	1	2	0	2	0	50
Casliber	147	97	30	0	239	28	52	119	6	1	0	15	734
Catbar	28	0	0	0	2	1	0	11	0	0	0	0	42
Catfish Jim	365	7	0	0	6	1	0	27	0	1	0	0	407
CatherineMunro	69	13	0	0	0	0	0	3	3	0	0	0	88
Catrope	2	0	0	0	0	0	0	0	0	0	0	2	4
CattleGirl	908	12	0	0	19	3	1	42	7	0	0	0	992
Caulde	2522	84	0	0	423	28	54	892	36	0	0	78	4117
Causa sui	1715	40	0	0	91	53	20	258	17	3	0	1	2198
Cbl62	42	2	0	0	9	0	0	0	0	0	0	0	53
Cbrown1023	3426	78	0	0	404	73	7	206	32	0	0	9	4235
Cburnett	51	18	0	0	6	2	0	14	5	0	0	0	96
Cdc	2188	10	0	0	10	9	0	21	2	0	0	0	2240
Cecropia	39	3	0	0	36	5	0	6	6	0	215	334	644
Cedrus-Libani	101	4	0	0	1	0	0	0	0	0	0	0	106
Celestianpower	745	9	0	0	19	3	0	170	70	0	0	0	1016
Cenarium	1809	81	2	0	398	147	221	140	4	9	0	34	2845
Centrx	17226	406	0	0	1007	947	13	1334	212	0	0	0	21145
Ceranthor	255	2	0	0	0	0	0	75	0	2	0	0	334
CesarB	3606	142	0	0	123	49	0	942	212	0	0	0	5074
Ceyockey	1786	49	0	0	4	0	0	16	2	0	0	0	1857
Chadloder	0	0	0	0	0	0	0	6	0	0	0	0	6
Chairboy	5162	13	0	0	69	8	0	189	14	0	0	0	5455
Chamal N	151	4	0	0	81	5	23	83	2	2	0	5	356
Chancemill	0	0	0	0	1	1	0	2	0	0	0	0	4
Charles Matthews	1982	49	0	0	5	1	0	140	20	0	0	0	2197
Chase me ladies, I'm the Cavalry	4211	101	132	1	517	32	56	1110	46	27	0	5	6238
Chaser	2362	133	6	0	341	45	42	895	146	30	0	15	4015
Ched Davis	130	9	0	0	4	0	0	14	4	0	0	4	165
Chell and the cake	0	0	0	0	2	0	0	0	0	0	0	0	2
Chessnotator1967	0	0	0	0	1	0	0	0	0	0	0	0	1
Chick Bowen	4740	222	1	0	86	15	5	142	30	0	0	1	5242
Chillum	1494	27	0	0	61	12	7	742	52	76	0	10	2481
Chmod007	13	2	0	0	2	0	0	1	1	0	0	0	19
Chochopk	27	37	0	0	1	0	0	2	1	0	0	0	68
Choess	14	10	0	0	0	0	0	0	0	0	0	0	24
Cholmes75	4637	10	0	0	26	0	0	112	3	0	0	0	4788
Chris 73	1935	15	0	0	63	8	1	718	30	3	0	0	2773
Chris G	6917	185	1	0	255	15	39	2952	70	232	0	11	10677
Chris Roy	3	0	0	0	0	0	0	1	0	0	0	0	4
