User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
Buckshot06	520	12	0	0	41	0	5	42	1	1	0	0	622
Bumm13	857	42	0	0	6	1	0	32	4	2	0	5	949
Bunchofgrapes	738	10	0	0	62	44	0	203	37	0	0	0	1094
Burgundavia	1105	0	0	0	4	0	0	1	0	0	0	0	1110
Burstorder	0	0	0	0	2	0	0	0	0	0	0	0	2
Butseriouslyfolks	5143	83	0	0	36	3	1	137	15	0	0	0	5418
Bwilkins	4866	56	4	0	208	2	18	505	125	232	0	17	6033
C-3PO	0	0	0	0	3	0	0	0	0	0	0	0	3
C.Fred	15021	133	140	0	329	9	12	2401	47	64	0	1	18157
C12H22O11	1357	5	0	0	49	8	0	47	7	0	0	0	1473
CALR	29	0	0	0	0	0	0	1	0	0	0	0	30
CAT:TEMP deletion bot	2120	0	0	0	0	0	0	0	0	0	0	0	2120
CBDunkerson	3506	64	0	0	683	49	0	32	22	0	0	1	4357
CBM	4550	160	3	0	266	101	25	90	32	4	0	59	5290
CIreland	1741	44	23	0	238	17	34	535	19	25	0	1	2677
CJ	1933	79	0	0	112	22	3	277	18	0	0	3	2447
CJCurrie	436	23	1	0	130	9	2	129	13	0	0	0	743
CJLL Wright	1872	30	0	0	61	3	7	256	4	0	0	0	2233
CLW	13930	54	0	0	3	0	0	26	0	0	0	0	14013
CMBJ	0	0	0	0	1	0	0	0	0	0	0	0	1
COGDEN	65	18	19	0	3	1	0	4	0	1	0	0	111
CRGreathouse	19	0	0	0	5	0	3	1	1	1	0	0	30
CSTAR	58	5	0	0	6	3	0	93	3	0	0	0	168
CT Cooper	1309	445	135	0	439	87	118	509	38	59	0	28	3167
CYD	1	0	0	0	1	0	0	0	0	0	0	0	2
Cactus.man	594	18	0	0	61	34	0	178	10	0	0	0	895
CactusWriter	6343	170	45	0	91	3	2	148	6	8	0	4	6820
Cacycle	188	11	0	0	26	2	1	13	1	0	0	1	243
Cailil	197	4	12	0	36	0	2	128	14	12	0	0	405
Caknuck	2127	9	0	0	288	40	53	802	12	9	0	0	3340
Calliopejen1	5499	154	47	0	12	3	0	16	0	0	0	0	5731
Calmer Waters	14905	13	19	0	84	1	7	566	9	17	0	105	15726
Caltrop	58	22	0	0	0	0	0	8	3	0	0	0	91
CambridgeBayWeather	17233	338	6	0	290	52	145	1177	24	8	0	0	19273
Camembert	12	2	0	0	0	1	0	0	0	0	0	0	15
Camw	607	24	25	0	26	3	4	222	0	10	0	0	921
Can't sleep, clown will eat me	9514	230	0	0	3000	125	133	32088	586	0	0	0	45676
Canadian Paul	1204	53	0	0	22	6	1	26	3	0	0	0	1315
Canadian-Bacon	426	2	0	0	16	3	0	232	5	0	0	0	684
CanadianCaesar	3505	62	0	0	53	14	0	1084	85	0	0	0	4803
Canderson7	1184	11	0	0	18	13	1	220	2	0	0	0	1449
Canley	1007	14	0	0	2	1	0	5	0	0	0	0	1029
Canterbury Tail	2441	8	0	0	100	8	17	483	23	18	0	0	3098
Cantthinkofagoodname	2	0	0	0	0	0	0	2	0	0	0	0	4
CapitalR	9233	11481	0	0	19	9	0	50	1	1	0	1	20795
Capitalistroadster	621	1	0	0	3	0	0	25	3	0	0	0	653
Carabinieri	454	7	0	0	5	3	0	3	2	0	0	0	474
Carbonite	188	3	0	0	28	10	0	226	22	0	0	0	477
Carcharoth	45	78	2	0	4	3	1	1	2	0	0	0	136
Caribbean H.Q.	377	16	0	0	75	10	9	259	20	0	0	1	767
Carioca	3035	14	0	0	8	2	1	10	0	0	0	0	3070
Carlosguitar	2924	20	0	0	30	1	3	167	11	0	0	0	3156
Carlossuarez46	10815	154	0	0	31	3	0	70	6	1	0	0	11080
Carnildo	2425	100	0	0	104	21	3	68	25	0	0	3	2749
Cary Bass	4	3	14	17	5	1	1	1	2	0	2	0	50
Casliber	187	117	41	1	335	34	80	133	6	2	0	18	954
Catbar	28	0	0	0	2	1	0	11	0	0	0	0	42
Catfish Jim and the soapdish	843	23	0	0	26	2	0	53	0	4	0	1	952
CatherineMunro	69	13	0	0	0	0	0	3	3	0	0	0	88
Catrope	2	0	0	0	0	0	0	0	0	0	0	26	28
CattleGirl	908	12	0	0	19	3	1	42	7	0	0	0	992
Caulde	2522	84	0	0	423	28	54	892	36	0	0	78	4117
Causa sui	2759	56	35	0	222	62	34	340	25	15	0	2	3550
Cbl62	184	5	0	0	9	0	0	0	0	0	0	0	198
Cbrown1023	3427	80	1	0	404	74	8	206	32	0	0	9	4241
Cburnett	52	18	0	0	6	2	0	14	5	0	0	0	97
Cdc	2188	10	0	0	10	9	0	21	2	0	0	0	2240
Cecropia	39	3	0	0	36	5	0	6	6	0	215	334	644
Cedrus-Libani	101	4	0	0	1	0	0	0	0	0	0	0	106
Celestianpower	745	9	0	0	19	3	0	170	70	0	0	0	1016
Cenarium	1820	81	2	0	398	149	221	140	4	9	0	34	2858
Centrx	17227	406	0	0	1007	947	13	1334	212	0	0	1	21147
Ceranthor	287	2	0	0	0	0	0	119	0	2	0	0	410
CesarB	3606	142	0	0	123	49	0	942	212	0	0	0	5074
Ceyockey	1793	51	0	0	4	0	0	16	2	0	0	0	1866
Chadloder	0	0	0	0	0	0	0	6	0	0	0	0	6
Chairboy	5162	13	0	0	69	8	0	189	14	0	0	0	5455
Chamal N	151	4	0	0	81	5	23	83	2	2	0	5	356
Chancemill	0	0	0	0	1	1	0	2	0	0	0	0	4
Charles Matthews	2010	52	0	0	5	1	0	142	21	0	0	0	2231
CharlieEchoTango	1883	28	64	0	74	5	10	740	4	44	0	27	2879
Chase me ladies, I'm the Cavalry	4388	125	144	34	539	33	62	1436	48	33	0	10	6852
Chaser	2371	135	7	0	346	46	43	897	147	30	0	15	4037
Ched	173	12	8	0	8	2	1	24	6	4	0	6	244
Chell and the cake	0	0	0	0	2	0	0	0	0	0	0	0	2
Chessnotator1967	0	0	0	0	1	0	0	0	0	0	0	0	1
Chick Bowen	4746	224	1	0	90	15	9	142	30	0	0	1	5258
Chillum	1495	27	0	0	61	12	7	742	52	76	0	10	2482
Chmod007	13	2	0	0	2	0	0	1	1	0	0	0	19
Chochopk	27	37	0	0	1	0	0	2	1	0	0	0	68
Choess	32	13	0	0	0	0	0	5	0	0	0	0	50
Cholmes75	4637	10	0	0	26	0	0	112	3	0	0	0	4788
Chris 73	1938	15	0	0	64	8	1	728	30	3	0	0	2787
Chris G	6926	186	2	0	258	17	40	2962	73	232	0	11	10707
Chris Roy	3	0	0	0	0	0	0	1	0	0	0	0	4
