User	DL	UD	RD	PT	UP	PM	BL	UB	BM	UR	RM	Total
Burgundavia	1105	0	0	4	0	0	1	0	0	0	0	1110
Burstorder	0	0	0	2	0	0	0	0	0	0	0	2
Butseriouslyfolks	5143	83	0	36	3	1	137	15	0	0	0	5418
C-3PO	0	0	0	3	0	0	0	0	0	0	0	3
C.Fred	7669	62	0	211	5	6	1545	31	16	0	0	9545
C12H22O11	1351	5	0	49	8	0	47	7	0	0	0	1467
CALR	29	0	0	0	0	0	1	0	0	0	0	30
CAT:TEMP deletion bot	2120	0	0	0	0	0	0	0	0	0	0	2120
CBDunkerson	3497	64	0	683	49	0	30	22	0	0	1	4346
CBM	4348	139	0	236	96	22	56	18	1	0	3	4919
CIreland	1035	32	0	171	12	23	367	18	9	0	1	1668
CJ	1927	79	0	112	22	3	277	18	0	0	1	2439
CJCurrie	398	19	0	126	8	2	126	13	0	0	0	692
CJLL Wright	1850	30	0	58	3	7	243	3	0	0	0	2194
CLW	13900	54	0	3	0	0	26	0	0	0	0	13983
CMBJ	0	0	0	1	0	0	0	0	0	0	0	1
COGDEN	53	14	0	2	0	0	4	0	1	0	0	74
CRGreathouse	7	0	0	0	0	0	1	1	1	0	0	10
CSTAR	58	4	0	6	3	0	93	3	0	0	0	167
CYD	1	0	0	1	0	0	0	0	0	0	0	2
Cactus.man	592	16	0	61	34	0	178	10	0	0	0	891
CactusWriter	672	103	0	12	2	0	31	3	5	0	3	831
Cacycle	179	11	0	26	2	1	12	1	0	0	1	233
Cailil	116	3	0	33	0	2	50	12	0	0	0	216
Caknuck	1943	8	0	185	30	32	706	11	6	0	0	2921
Calliopejen1	2730	80	0	11	2	0	5	0	0	0	0	2828
Caltrop	57	22	0	0	0	0	6	3	0	0	0	88
Camaron	747	286	0	311	50	76	283	27	21	0	20	1821
CambridgeBayWeather	14605	259	0	212	18	136	983	22	5	0	0	16240
Camembert	11	2	0	0	1	0	0	0	0	0	0	14
Camw	314	7	0	3	0	0	171	0	7	0	0	502
Can't sleep, clown will eat me	9514	230	0	3000	125	133	32088	586	0	0	0	45676
Canadian Paul	974	30	0	14	5	0	21	2	0	0	0	1046
Canadian-Bacon	426	2	0	16	3	0	232	5	0	0	0	684
CanadianCaesar	3505	62	0	53	14	0	1084	85	0	0	0	4803
Canderson7	1183	11	0	18	13	1	220	2	0	0	0	1448
Canley	873	8	0	0	1	0	4	0	0	0	0	886
Canterbury Tail	1325	7	0	71	7	8	390	20	11	0	0	1839
Cantthinkofagoodname	2	0	0	0	0	0	2	0	0	0	0	4
CapitalR	356	2	0	3	5	0	49	1	1	0	1	418
Capitalistroadster	620	1	0	3	0	0	23	3	0	0	0	650
Carabinieri	415	7	0	4	3	0	3	2	0	0	0	434
Carbonite	188	3	0	28	10	0	226	22	0	0	0	477
Carcharoth	33	75	0	2	1	0	1	2	0	0	0	114
Caribbean H.Q.	348	11	0	64	10	7	229	18	0	0	0	687
Carioca	2427	10	0	6	1	0	9	0	0	0	0	2453
Carlosguitar	2924	20	0	30	1	3	166	11	0	0	0	3155
Carlossuarez46	10571	129	0	27	2	0	66	6	1	0	0	10802
Carnildo	2388	98	0	90	17	2	60	21	0	0	3	2679
Cary Bass	2	2	14	5	1	1	1	2	0	2	0	30
Casliber	102	53	7	131	6	23	110	6	0	0	2	440
Catbar	28	0	0	2	1	0	11	0	0	0	0	42
CatherineMunro	69	13	0	0	0	0	3	3	0	0	0	88
CattleGirl	908	12	0	19	3	1	42	7	0	0	0	992
Caulde	2522	84	0	423	28	54	892	36	0	0	78	4117
Causa sui	1691	40	0	88	53	18	255	17	3	0	1	2166
Cbl62	12	0	0	6	0	0	0	0	0	0	0	18
Cbrown1023	3423	75	0	401	72	7	205	32	0	0	8	4223
Cburnett	48	18	0	6	2	0	14	5	0	0	0	93
Cdc	2188	10	0	10	9	0	21	2	0	0	0	2240
Cecropia	39	3	0	36	5	0	6	6	0	215	334	644
Cedrus-Libani	101	4	0	1	0	0	0	0	0	0	0	106
Celestianpower	735	9	0	19	3	0	170	70	0	0	0	1006
Cenarium	1527	65	0	357	139	172	127	4	6	0	21	2418
Centrx	17216	403	0	1002	947	13	1333	212	0	0	0	21126
CesarB	3606	141	0	123	49	0	942	212	0	0	0	5073
Ceyockey	1778	47	0	4	0	0	15	2	0	0	0	1846
Chadloder	0	0	0	0	0	0	6	0	0	0	0	6
Chairboy	5156	13	0	69	8	0	187	14	0	0	0	5447
Chamal N	87	4	0	21	3	5	51	2	1	0	0	174
Chancemill	0	0	0	1	1	0	2	0	0	0	0	4
Charles Matthews	1936	33	0	3	1	0	127	20	0	0	0	2120
Chase me ladies, I'm the Cavalry	2526	48	0	441	26	48	855	32	16	0	1	3993
Chaser	1986	86	0	279	41	34	839	111	5	0	8	3389
Ched Davis	116	6	0	4	0	0	10	4	0	0	4	144
Chell and the cake	0	0	0	2	0	0	0	0	0	0	0	2
Chessnotator1967	0	0	0	1	0	0	0	0	0	0	0	1
Chick Bowen	4673	197	0	72	14	2	135	30	0	0	1	5124
