User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
Bob the Wikipedian	2	0	0	0	0	0	0	0	0	0	0	0	2
Bobak	231	12	0	0	160	6	9	753	11	11	0	0	1193
Bobet	4965	181	0	0	56	18	1	224	10	0	0	0	5455
Bobo192	4961	3	0	0	2	3	0	2	0	0	0	0	4971
Bogdangiusca	3164	66	0	0	28	10	1	108	13	0	0	0	3390
Bongwarrior	10063	64	4	0	512	16	128	4483	36	138	0	2	15446
Bonkers Bobcat	0	0	0	0	1	0	0	0	0	0	0	0	1
Bookofjude	650	27	0	0	29	5	0	85	9	0	0	0	805
Bopped Kia	0	0	0	0	1	0	0	0	0	0	0	0	1
BorgHunter	598	25	0	0	54	19	1	117	28	0	0	0	842
BorgQueen	4088	52	0	0	1248	133	50	3593	168	22	0	0	9354
Borisblue	248	1	0	0	14	39	0	92	8	0	0	0	402
Bovlb	23	2	0	0	14	1	0	28	2	0	0	0	70
BozMo	290	6	0	0	19	3	3	157	18	0	0	0	496
BradBeattie	294	0	0	0	6	0	0	118	3	0	0	0	421
BradPatrick	17	0	0	0	4	0	0	5	0	0	0	0	26
Bradeos Graphon	4878	19	0	0	65	19	3	1214	80	0	0	0	6278
Brandon	3892	77	1	0	109	39	26	770	35	44	0	19	5012
Bratsche	568	16	0	0	18	46	0	145	19	0	0	0	812
Brendanconway	955	23	0	0	26	8	0	87	14	0	0	0	1113
BrendelSignature	4	0	0	0	74	5	4	105	8	0	0	0	200
Brian	6	2	0	0	3	0	1	3	1	0	0	0	16
Brian Kendig	28	3	0	0	5	6	0	2	0	0	0	0	44
Brian0918	931	79	0	0	258	47	4	2144	109	1	0	0	3573
Brianga	2305	9	0	0	1	1	1	459	7	5	0	0	2788
Briangotts	138	7	0	0	1	0	0	7	0	0	0	0	153
Brighterorange	181	12	0	0	1	0	0	21	1	0	0	0	216
Brion VIBBER	192	9	0	0	12	0	1	27	11	0	0	4	256
Brockert	189	51	0	0	3	3	0	31	30	0	0	0	307
BrokenSegue	1363	11	0	0	62	67	0	153	40	0	0	0	1696
Brookie	3998	53	0	0	212	3	0	229	4	0	0	0	4499
BrownHairedGirl	1579	123	0	0	151	7	11	136	17	4	0	0	2028
Bryan Derksen	828	324	0	0	5	7	0	10	0	0	0	2	1176
Bubba hotep	3283	70	9	0	57	3	7	1027	12	25	0	8	4501
Buchanan-Hermit	514	18	0	0	28	6	0	452	20	0	0	0	1038
Bucketsofg	648	22	0	0	66	6	0	224	8	0	0	0	974
Buckshot06	344	4	0	0	8	0	1	11	0	1	0	0	369
Bumm13	843	39	0	0	6	1	0	32	4	2	0	5	932
Bunchofgrapes	738	10	0	0	62	44	0	203	37	0	0	0	1094
