User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
Caknuck	2132	9	0	0	292	40	53	803	12	9	0	0	3350
Calliopejen1	5625	157	106	0	12	3	0	16	0	0	0	1	5920
Calmer Waters	14906	13	19	0	84	1	7	568	9	17	0	105	15729
Caltrop	58	22	0	0	0	0	0	8	3	0	0	0	91
CambridgeBayWeather	17321	344	6	0	322	52	151	1188	24	8	0	0	19416
Camembert	12	2	0	0	0	1	0	0	0	0	0	0	15
Camw	622	25	25	0	26	3	4	224	0	10	0	0	939
Can't sleep, clown will eat me	9514	230	0	0	3000	125	133	32088	586	0	0	0	45676
Canadian Paul	1212	55	0	0	23	6	1	27	3	0	0	0	1327
Canadian-Bacon	426	2	0	0	16	3	0	232	5	0	0	0	684
CanadianCaesar	3505	62	0	0	53	14	0	1084	85	0	0	0	4803
Canderson7	1184	11	0	0	18	13	1	220	2	0	0	0	1449
Canley	1012	14	0	0	2	1	0	5	0	0	0	0	1034
Canterbury Tail	2456	8	0	0	100	8	17	486	23	19	0	0	3117
Cantthinkofagoodname	2	0	0	0	0	0	0	2	0	0	0	0	4
CapitalR	9233	11481	0	0	19	9	0	50	1	1	0	1	20795
Capitalistroadster	621	1	0	0	3	0	0	25	3	0	0	0	653
Carabinieri	454	7	0	0	5	3	0	3	2	0	0	0	474
Carbonite	188	3	0	0	28	10	0	226	22	0	0	0	477
Carcharoth	45	78	2	0	5	3	1	1	2	0	0	0	137
Caribbean H.Q.	377	16	0	0	75	10	9	259	20	0	0	1	767
Carioca	3045	14	0	0	10	2	1	10	0	0	0	0	3082
Carlosguitar	2924	20	0	0	30	1	3	167	11	0	0	0	3156
Carlossuarez46	10842	160	0	0	31	3	0	70	6	1	0	0	11113
Carnildo	2425	100	0	0	104	21	3	68	25	0	0	3	2749
Cary Bass	4	3	14	17	5	1	1	1	2	0	2	0	50
Casliber	189	117	41	1	337	34	83	134	6	2	0	18	962
Catbar	28	0	0	0	2	1	0	11	0	0	0	0	42
Catfish Jim and the soapdish	844	23	0	0	26	2	0	53	0	4	0	1	953
CatherineMunro	69	13	0	0	0	0	0	3	3	0	0	0	88
Catrope	2	0	0	0	0	0	0	0	0	0	0	27	29
CattleGirl	908	12	0	0	19	3	1	42	7	0	0	0	992
Caulde	2522	84	0	0	423	28	54	892	36	0	0	78	4117
Causa sui	2759	56	35	0	222	62	34	340	25	15	0	2	3550
Cbl62	210	5	0	0	9	0	0	0	0	0	0	0	224
Cbrown1023	3430	81	1	0	404	74	8	206	32	0	0	9	4245
Cburnett	52	18	0	0	6	2	0	14	5	0	0	0	97
Cdc	2188	10	0	0	10	9	0	21	2	0	0	0	2240
Cecropia	39	3	0	0	36	5	0	6	6	0	215	334	644
Cedrus-Libani	101	4	0	0	1	0	0	0	0	0	0	0	106
Celestianpower	745	9	0	0	19	3	0	170	70	0	0	0	1016
Cenarium	1823	81	2	0	399	149	221	140	4	9	0	34	2862
Centrx	17227	406	0	0	1007	947	13	1334	212	0	0	1	21147
Ceranthor	305	2	0	0	0	0	0	136	0	2	0	0	445
CesarB	3606	142	0	0	123	49	0	942	212	0	0	0	5074
Ceyockey	1793	52	0	0	4	0	0	16	2	0	0	0	1867
Chadloder	0	0	0	0	0	0	0	6	0	0	0	0	6
Chairboy	5162	13	0	0	69	8	0	189	14	0	0	0	5455
Chamal N	151	4	0	0	81	5	23	83	2	2	0	5	356
Chancemill	0	0	0	0	1	1	0	2	0	0	0	0	4
Charles Matthews	2014	52	0	0	5	1	0	143	21	0	0	0	2236
CharlieEchoTango	1884	29	64	0	75	6	11	758	4	44	0	28	2903
Chase me ladies, I'm the Cavalry	4389	128	144	34	540	33	62	1449	50	33	0	10	6872
Chaser	2371	135	7	0	346	46	43	897	147	30	0	15	4037
Ched	173	12	8	0	8	2	1	24	6	4	0	6	244
Chell and the cake	0	0	0	0	2	0	0	0	0	0	0	0	2
Chessnotator1967	0	0	0	0	1	0	0	0	0	0	0	0	1
Chick Bowen	4789	225	1	0	90	15	9	143	30	0	0	1	5303
Chillum	1496	27	0	0	61	12	7	742	52	76	0	10	2483
Chmod007	13	2	0	0	2	0	0	1	1	0	0	0	19
Chochopk	27	37	0	0	1	0	0	2	1	0	0	0	68
Choess	37	13	0	0	0	0	0	5	0	0	0	0	55
